client,year,total,client_clue,lobbyingfirmhired,totalamount,lobbyist,revolvingdoorprofiles,formermembersofcongress,lobby_status,experience,target
1st Financial Bank USA,2008,741500,1st Financial Bank USA,D'Amato & Lynch,141500, William Burton ,0,0,1,2,0
1st Financial Bank USA,2008,741500,1st Financial Bank USA,Sagat & Burton,600000, William Burton ,0,0,1,2,0
1st Financial Bank USA,2009,810000,1st Financial Bank USA,Sagat & Burton,810000, William Burton ,0,0,1,3,0
1st Financial Bank USA,2010,340000,1st Financial Bank USA,Sagat & Burton,340000, William Burton ,0,0,1,4,0
1st Financial Bank USA,2011,70000,1st Financial Bank USA,Sagat & Burton,70000, William Burton ,0,0,1,5,0
1st Financial Bank USA,2012,50000,1st Financial Bank USA,Sagat & Burton,50000, William Burton ,0,0,1,6,0
1st Financial Bank USA,2013,30000,1st Financial Bank USA,Sagat & Burton,30000, William Burton ,0,0,1,7,0
1st Financial Bank USA,2014,28550,1st Financial Bank USA,Sagat & Burton,28550, William Burton ,0,0,1,8,0
1st Financial Bank USA,2015,0,1st Financial Bank USA,Sagat & Burton,0, William Burton ,0,0,1,9,0
1st Financial Bank USA,2016,5382,1st Financial Bank USA,Sagat & Burton,5382, William Burton ,0,0,1,10,0
1st Financial Bank USA,2017,23100,1st Financial Bank USA,Sagat & Burton,6900, William Burton ,0,0,1,11,0
AB Ukio Bankas,2008,360000,AB Ukio Bankas,Dutko Worldwide,360000, Kim K Bayliss ,1,0,1,3,0
AB Ukio Bankas,2008,360000,AB Ukio Bankas,Dutko Worldwide,360000, Jeremiah Baronberg ,0,0,1,3,0
AB Ukio Bankas,2008,360000,AB Ukio Bankas,Dutko Worldwide,360000, Mary Clare Fitzgerald ,1,0,1,3,0
AB Ukio Bankas,2008,360000,AB Ukio Bankas,Dutko Worldwide,360000, Sally Painter ,1,0,1,3,0
AB Ukio Bankas,2008,360000,AB Ukio Bankas,Dutko Worldwide,360000, Karen A Tramontano ,1,0,1,3,0
AB Ukio Bankas,2009,120000,AB Ukio Bankas,Dutko Worldwide,120000, Sally Painter ,1,0,1,4,0
AB Ukio Bankas,2009,120000,AB Ukio Bankas,Dutko Worldwide,120000, Mary Clare Fitzgerald ,1,0,1,4,0
AB Ukio Bankas,2009,120000,AB Ukio Bankas,Dutko Worldwide,120000, Karen A Tramontano ,1,0,1,4,0
AB Ukio Bankas,2009,120000,AB Ukio Bankas,Dutko Worldwide,120000, Jeremiah Baronberg ,0,0,1,4,0
Ad Hoc Dealer Coalition,2015,140000,Ad Hoc Dealer Coalition,Cleary Gottlieb et al,140000, Colin Lloyd ,0,0,1,0,0
Admirals Bank,2012,0,Admirals Bank,Manatos & Manatos,0, Mike Manatos ,0,0,1,0,0
Admirals Bank,2012,0,Admirals Bank,Manatos & Manatos,0, Andrew Manatos ,1,0,1,0,0
Admirals Bank,2013,0,Admirals Bank,Manatos & Manatos,0, Andrew Manatos ,1,0,1,1,0
Admirals Bank,2013,0,Admirals Bank,Manatos & Manatos,0, Mike Manatos ,0,0,1,1,0
Admirals Bank,2014,0,Admirals Bank,Manatos & Manatos,0, Andrew Manatos ,1,0,1,2,0
Admirals Bank,2014,0,Admirals Bank,Manatos & Manatos,0, Mike Manatos ,0,0,1,2,0
Admirals Bank,2015,0,Admirals Bank,Manatos & Manatos,0, Andrew Manatos ,1,0,1,3,0
Admirals Bank,2015,0,Admirals Bank,Manatos & Manatos,0, Mike Manatos ,0,0,1,3,0
Agstar Financial Services,2008,120000,Agstar Financial Services,Clark & Weinstock,120000, David J Berteau ,1,0,1,4,0
Agstar Financial Services,2008,120000,Agstar Financial Services,Clark & Weinstock,120000, Vin Weber ,1,1,1,4,0
Agstar Financial Services,2008,120000,Agstar Financial Services,Clark & Weinstock,120000, Eric Hotmire ,1,0,1,4,0
Agstar Financial Services,2008,120000,Agstar Financial Services,Clark & Weinstock,120000, Sandi Stuart ,1,0,1,4,0
Agstar Financial Services,2008,120000,Agstar Financial Services,Clark & Weinstock,120000, Christopher D'Arcy ,1,0,1,4,0
Agstar Financial Services,2008,120000,Agstar Financial Services,Clark & Weinstock,120000, Ed Kutler ,1,0,1,4,0
Agstar Financial Services,2009,120000,Agstar Financial Services,Clark & Weinstock,120000, Vin Weber ,1,1,1,5,0
Agstar Financial Services,2009,120000,Agstar Financial Services,Clark & Weinstock,120000, Sandi Stuart ,1,0,1,5,0
Agstar Financial Services,2009,120000,Agstar Financial Services,Clark & Weinstock,120000, Ed Kutler ,1,0,1,5,0
