REG_SNL_INSTN_KEY,year,CompanyName,CompanyType,PrimaryRegulator,YearEstablished,ParentName,ParentInstitutionKey,CountyandState,ZipCode,State,Initial_Scale,status,lobby_status,severe,capital_adequacy,asset_quality,management_quality,earning,liquidity,sensitivity_to_market_risk,deposit_to_asset_ratio,leverage,total_core_deposit,size,age,growth,distance,initial_market_size
1000016,2010,Bank of Hancock County,Commercial Bank,FDIC,1904,,NA,"Hancock, GA",31087,GA,61351,1,0,0,34.533375,-2.1500001,0,0.035334971,13.341458,11.069652,79.580917,20.33,66150,83515,106,-5.560574578,823.6853920436929,2.60943E-05
100003,2010,BOK Financial Corporation,Bank Holding Company,FED,1910,,NA,"Tulsa, OK",74172,OK,6842259,1,0,0,12.685736,-2.6900001,0,0.02968003,7.3097196,13.213441,71.93969,8.7399998,14332453,23889868,100,3.898070718,1691.501740200487,0.011632436
1000087,2010,MutualBank,Commercial Bank,FDIC,1889,"Northwest Bancshares, Inc.",1137118,"Delaware, IN",47305,IN,468143,1,0,0,13.257076,,0,0.030637605,2.1973934,,79.956596,9.1800003,1080867,1405495,121,1.492429704,731.3146762,0.000653259
1000099,2010,First Community Bank Xenia-Flora,Commercial Bank,FED,1922,First Community Bancshares,4080880,"Clay, IL",62899,IL,21914,1,0,0,13.077017,-0.72000003,0,0.038618878,5.4909616,7.5061021,71.944069,12.77,23566,32756,88,4.54955245,1006.329783583171,6.2510103e-06
1000144,2010,Bison State Bank,Commercial Bank,FDIC,1901,"Bison Bancshares, Inc.",109535748,"Rush, KS",67520,KS,8041,1,0,0,18.276972,-4.6999998,0,0.030477926,4.8664556,29.844883,89.469421,9.21,9114,14368,109,3.31095349,1919.412357334139,1.65172E-05
1000162,2010,Malvern Bank NA,Commercial Bank,OCC,1887,"Malvern Bancorp, Inc.",4190220,"Chester, PA",19301,PA,320098,1,0,1,11.673342,,0,0.028352482,6.0659432,,83.814079,8.4700003,552247,686924,123,1.440396272,181.7455218502399,0.00011908
1000174,2010,Lowry State Bank,Commercial Bank,FDIC,1899,"Financial Services of Lowry, Inc.",1019507,"Pope, MN",56349,MN,17675,1,0,0,10.790889,-1.29,0,0.044238627,9.9833775,23.08363,83.576683,8.6800003,30178,36710,111,6.599348729,1692.209902,9.8432511e-06
1000191,2010,Ballston Spa National Bank,Commercial Bank,OCC,1838,"Ballston Spa Bancorp, Inc.",1016860,"Saratoga, NY",12020,NY,215498,1,0,0,13.530264,-1.96,0,0.033354267,16.908157,3.366601,79.878448,7.4400001,296958,385348,159,4.865466533,526.8700107356551,9.7902303e-06
1000202,2010,Foxboro Federal Savings Branch,Commercial Bank,OCC,1889,1889 Bancorp MHC,4240654,"Norfolk, MA",02035,MA,78261,1,0,0,28.603775,,0,0.029711487,21.458351,,84.622337,14.75,110670,137186,121,3.953525386,601.1320214312569,3.87141E-05
1000317,2010,Washington Federal Bank,Commercial Bank,FDIC,1917,"Washington Federal, Inc.",102038,"King, WA",98101,WA,5721891,1,0,0,22.611046,,0,0.030094435,9.5098619,,65.98851,11.66,8488548,13431586,93,1.015531661,3737.193490358943,0.010844395
1000320,2010,Home Federal Bank,Commercial Bank,FDIC,1929,"First Interstate BancSystem, Inc.",1019278,"Minnehaha, SD",57104,SD,600684,1,0,0,11.314016,,0,0.032776866,1.4819654,,76.162468,9.1300001,787514,1223973,81,4.634369287,1722.120415818469,0.000102308
1000322,2010,"Home Bank, National Association",Commercial Bank,OCC,1908,"Home Bancorp, Inc.",4208452,"Lafayette, LA",70508,LA,228628,1,0,0,23.898577,,0,0.039763298,7.9713187,,82.020027,15.46,546036,685079,102,6.472935295,1680.667314192255,0.000564166
1000367,2010,Eastern Connecticut Savings Bank,Commercial Bank,FED,1915,,NA,"New London, CT",06360,CT,107875,1,0,0,15.755157,,0,0.030014863,11.314936,,71.304024,10.88,112113,165518,95,0.635435383,511.7634803961669,0.000377763
1000394,2010,RVR Bank,Commercial Bank,FDIC,1956,"First State Fremont, Inc.",1021870,"Dodge, NE",68025,NE,106232,1,0,0,11.087778,-1.52,0,0.037084896,14.320393,3.5095294,84.929298,8.1800003,165264,202751,54,2.696230349,1674.250199107782,0.000228076
1000426,2010,Home Federal Bank,Commercial Bank,FDIC,1920,"First Interstate BancSystem, Inc.",1019278,"Canyon, ID",83651,ID,233221,1,0,0,25.359459,,0,0.02107697,18.562714,,83.777031,10.57,1097651,1357643,90,1.465724901,3318.316180733851,0.00922501
1000430,2010,CFBank National Association,Commercial Bank,OCC,1892,CF Bankshares Inc.,4040782,"Franklin, OH",43081,OH,134262,1,0,0,9.4053841,,0,0.031699877,1.501002,,83.774796,6.5900002,181169,273408,118,2.763819095,522.7500216739911,1.52792E-05
1000475,2010,Bank of Grandin,Commercial Bank,FDIC,1913,,NA,"Carter, MO",63943,MO,67738,1,0,0,21.155891,-1.58,0,0.032371279,2.0048056,9.9113445,86.227341,13.61,124703,153006,97,0.840794933,1232.234393683995,5.43359E-05
1000504,2010,"OceanFirst Bank, National Association",Commercial Bank,OCC,1902,OceanFirst Financial Corp.,102614,"Ocean, NJ",08753,NJ,1558055,1,0,0,14.354356,,-1,0.034781378,1.8674983,,74.368561,9.1300001,1662184,2252901,108,1.45994604,269.9259431966352,0.002880503
1000506,2010,Century Bank,Commercial Bank,FDIC,1887,Century Financial Services Corporation,1031007,"Santa Fe, NM",87501,NM,185444,1,0,0,15.465878,-1.65,0,0.038299564,1.5224868,2.4060829,81.670006,10.88,341101,520502,123,-0.155560131,2563.530713204358,0.001879716
1000511,2010,Hilltop National Bank,Commercial Bank,OCC,1964,Midland Financial Corporation,1017081,"Natrona, WY",82609,WY,220608,1,0,0,19.301935,-1.5700001,0,0.037975892,7.0915685,7.655417,90.062119,9.3299999,394572,482306,46,9.923463233842851,2477.517959047763,0.006020602
1000531,2010,First Palmetto Bank,Commercial Bank,FDIC,1904,First Palmetto Financial Corporation,1031009,"Kershaw, SC",29020,SC,447687,1,0,0,12.746637,,0,0.039515652,3.9184587,,78.768951,10.93,488645,673151,106,0.899746946,608.2194196415599,0.001532251
1000537,2010,First Fed Bank,Commercial Bank,FDIC,1923,First Northwest Bancorp,4343673,"Clallam, WA",98362,WA,426493,1,0,0,19.245083,,0,0.029937042,3.4155691,,75.656609,9.9099998,539557,750976,87,1.662284546,3804.365478994192,0.000808309
1000543,2010,"First State Bank, Kiowa, Kansas",Commercial Bank,FDIC,1935,"Grace Investment Company, Inc.",4064973,"Barber, KS",67070,KS,34417,1,0,0,13.685449,-1.45,0,0.033123516,6.8048711,2.1218295,86.102997,9.3400002,41149,55127,75,12.53101737,1888.824153321619,7.06965E-05
1000586,2010,The Liberty National Bank in Paris,Commercial Bank,OCC,1931,"Paris Bancshares, Inc.",1027860,"Lamar, TX",75460,TX,202304,1,0,0,36.103973,-3.05,0,0.033999227,11.322036,5.3020377,82.191948,16.309999,193950,245535,79,5.530685462,1755.807754183999,6.52388E-05
1000632,2010,Custer Federal State Bank,Commercial Bank,FDIC,1925,CFSB Holding Co.,4627170,"Custer, NE",68822,NE,51642,1,0,0,13.878521,,0,0.033325233,3.8364539,,90.942642,8.2600002,57185,65836,85,9.040634057,1935.746635151403,0.000110873
1000635,2010,Allegheny Valley Bank of Pittsburgh,Commercial Bank,FDIC,1900,Dollar Mutual Bancorp,10721082,"Allegheny, PA",15201,PA,234984,1,0,0,13.287567,-1.47,0,0.032512031,19.3377,9.5391388,82.102844,7.8299999,320147,408741,110,3.447965228,304.8386113212488,8.74168E-05
1000640,2010,River Valley Financial Bank,Commercial Bank,FDIC,1875,"German American Bancorp, Inc.",100551,"Jefferson, IN",47250,IN,138669,1,0,0,13.951607,,0,0.030112453,5.1743679,,74.451134,9.6999998,260932,386385,135,5.781219873,724.1244206939341,0.000193502
1000641,2010,Washita State Bank,Commercial Bank,FDIC,1977,,NA,"Washita, OK",73624,OK,7284,1,0,1,16.129845,-1.5700001,0,0.026312318,33.174358,9.0878429,56.195572,10.03,13089,166728,33,9.798385637,1997.896914892525,1.23834E-05
1000654,2010,Hamilton Bank,Commercial Bank,FDIC,1915,"Orrstown Financial Services, Inc.",100631,"Baltimore, MD",21286,MD,160613,1,0,0,17.302246,,0,0.021434842,11.849604,,89.255524,9.4399996,285021,332636,95,1.610339635,67.79654566081119,0.000540042
1000689,2010,First Federal Savings and Loan Bank,Commercial Bank,FDIC,1923,"First Federal of Olathe Bancorp, Inc.",4053466,"Johnson, KS",66061,KS,44074,1,0,0,20.997047,,0,0.036672752,26.835226,,67.849197,13.64,27498,65171,87,-2.422430308,1537.148307441375,9.05331E-05
1000699,2010,Farmers & Merchants Bank,Commercial Bank,FDIC,1911,"Citizens Community Bancorp, Inc.",4091023,"Monroe, WI",54660,WI,102554,1,0,0,12.541623,-2.1099999,-1,0.032040536,1.212275,24.028885,78.831123,9.5600004,124286,205240,99,4.609218437,1254.958306907111,9.47884E-05
1000709,2010,Brookville Building and Savings Association,Commercial Bank,FDIC,1903,,NA,"Montgomery, OH",45309,OH,31679,1,0,0,30.083628,,0,0.036836613,15.269442,,76.01252,16.33,30293,41209,107,1.770415279,643.2406193069751,3.6051113e-06
1000729,2010,Lamar National Bank,Commercial Bank,OCC,1981,"Lamar Bancorporation, Inc.",1020211,"Lamar, TX",75460,TX,73555,1,0,0,19.829845,-0.98000002,0,0.035179876,14.01307,0.64191419,88.490555,9.8999996,100231,128312,29,5.530685462,1755.807754183999,2.37199E-05
1000780,2010,Heartland Bank,Commercial Bank,FED,1933,,NA,"Pulaski, AR",72207,AR,277681,1,0,0,12.999821,-1.74,0,0.039325774,2.9346023,17.219498,79.04493,11.48,110257,162438,77,-0.222002365,1437.656513914884,0.000789438
