"Client/Parent","Subsidiary/Affiliate","Total"
"Citigroup Inc","","$7320000"
"Chase Manhattan","","$5920000"
"American Bankers Assn","","$4925560"
"Bank of America","","$4580000"
"Wells Fargo","","$1380000"
"JP Morgan & Co","","$1280000"
"Bank One Corp","","$1046000"
"Independent Bankers Assn","","$901604"
"Wachovia Corp","","$600000"
"Fleet Financial Group","","$560000"
"National Assn of Govt Guaranteed Lenders","","$420000"
"Bankers Roundtable","","$400000"
"State Street Corp","","$360000"
"Business Use Insurance Cmte","","$320000"
"Institute of International Bankers","","$280000"
"Consumer Bankers Assn","","$260000"
"Bank of New York","","$200000"
"AmSouth Bancorp","","$180000"
"PNC Financial Services","","$180000"
"US Central Credit Corp","","$140000"
"KeyCorp","","$120000"
"Bankers Trust New York","","$120000"
"Colombian Banking & Fincl Entities Assn","","$110000"
"Bankers Trust","","$100000"
"Assn of Banks-In-Insurance","","$100000"
"AgFirst Farm Credit Bank","","$80000"
"First Citizens Bancshares","","$80000"
"National Cooperative Bank","","$80000"
"Zions Bancorp","","$70000"
"US Bancorp","","$60000"
"First National Bank","","$60000"
"Fremont Group","","$60000"
"Centura Banks","","$60000"
"ABN AMRO","","$60000"
"Assn of Financial Services Holding Cos","","$60000"
"Barclays","","$60000"
"Bank Tax Coalition","","$40000"
"Continental Savings Bank","","$40000"
"Council of Development Finance Agencies","","$40000"
"Comerica Inc","","$40000"
"Sanwa Bank","","$40000"
"Swiss Bankers Assn","","$20000"
"UBS AG","","$20000"
"State Street Development Co of Boston","","$20000"
"Firstar Corp","","$20000"
"M&T Bank","","$20000"
"Midfirst Bank","","$20000"
"National City Corp","","$20000"
"BB&T Corp","","$20000"
"Banque Paribas","","$10000"
"Roslyn Bancorp","","$10000"
"Queens County Bancorp","","$10000"
"Republic New York Corp","","$0"
"Riggs National Corp","","$0"
"North Fork Bank","","$0"
"SunTrust Banks","","$0"
"Superior Bank","","$0"
"Westdeutsche Landesbank Girozentrale","","$0"
"Whitehall Corp","","$0"
"Bombardier Inc","","$0"
"Colonial Bancgroup","","$0"
"Golden West Financial","","$0"
"Grupo Financiero Banorte","","$0"
"Guaranty Bond Bank","","$0"
"First National Bank In Durant","","$0"
"First National Bank of New England","","$0"
"First State Bank in Rio Vista","","$0"
