"Client/Parent","Subsidiary/Affiliate","Total"
"American Bankers Assn","","$8690000"
"JPMorgan Chase & Co","","$8060000"
"Wells Fargo","","$6790000"
"Citigroup Inc","","$5260000"
"Independent Community Bankers of America","","$4660000"
"HSBC Holdings","","$2836000"
"Bank of America","","$2750000"
"Consumer Bankers Assn","","$2560000"
"Toronto-Dominion Bank","","$1850000"
"Ally Financial","","$1780000"
"Electronic Payments Coalition","","$1593000"
"Promontory Interfinancial Network","","$1290000"
"Regions Financial","","$1230000"
"US Bancorp","","$1019600"
"PNC Financial Services","","$980000"
"Fifth Third Bancorp","","$960000"
"New York Private Bank & Trust","","$890000"
"BB&T Corp","","$729775"
"Banco Bilbao Vizcaya Argentaria","","$680000"
"KeyCorp","","$632250"
"Royal Bank of Scotland","","$580000"
"Alfa Bank","","$480000"
"Barclays","","$440000"
"TCF Financial","","$305000"
"MEAB sal","","$300000"
"Huntington Bancshares","","$262000"
"National Assn of Govt Guaranteed Lenders","","$240000"
"First Horizon National","","$220000"
"Institute of International Bankers","","$200000"
"Agstar Financial Services","","$180000"
"National Cooperative Bank","","$180000"
"Standard Chartered plc","","$170000"
"SunTrust Banks","","$150641"
"Texas Capital Bancshares","","$125000"
"First Premier Bank","","$120000"
"Mid-Sized Bank Coalition","","$110000"
"Royal Bank of Canada","","$100000"
"Hilltop Holdings","","$90000"
"International Bancshares Corp","","$80000"
"Council of Development Finance Agencies","","$80000"
"SVB Financial Group","","$80000"
"National Bank of Canada","","$80000"
"Midfirst Bank","","$60000"
"National Assn of Credit Specialists","","$60000"
"Zions Bancorp","","$60000"
"East West Bancorp","","$50000"
"1st Financial Bank USA","","$50000"
"European Banking Federation","","$40798"
"Banco Santander","","$40000"
"Association of Banks in Lebanon","","$40000"
"Swiss Bankers Assn","","$30000"
"Sterling Bank","","$26250"
"First Guaranty Bank & Trust Co","","$10000"
"NCB Capital Impact","","$10000"
"Bandera Corridor Conservation Bank","","$10000"
"First National of Nebraska","","$10000"
"M&T Bank","","$10000"
"International Banking Federation","","$0"
"Japan Bank for International Cooperation","","$0"
"First Citizens Bancshares","","$0"
"Admirals Bank","","$0"
"Commerce Bancshares","","$0"
"TCF Bank","","$0"
