Lobbying Firm Hired,Total Amount*,Client,Lobbyist,Revolving Door Profiles,Former Members of Congress
Akin Gump et al,"$180,000 ",Citigroup Management Corp, Donald C Alexander ,Revolving Door Profiles,Non Former Members of Congress
Akin Gump et al,"$180,000 ",Citigroup Management Corp, Sean G D'Arcy ,Revolving Door Profiles,Non Former Members of Congress
Akin Gump et al,"$180,000 ",Citigroup Management Corp, Smith W Davis ,Revolving Door Profiles,Non Former Members of Congress
Akin Gump et al,"$180,000 ",Citigroup Management Corp, Alan Goodman ,No Revolving Door Profiles,Non Former Members of Congress
Akin Gump et al,"$180,000 ",Citigroup Management Corp, James L Jr Johnson ,No Revolving Door Profiles,Non Former Members of Congress
Akin Gump et al,"$180,000 ",Citigroup Management Corp, Dirk O O'Donnell ,No Revolving Door Profiles,Non Former Members of Congress
Akin Gump et al,"$180,000 ",Citigroup Management Corp, Barney J Jr Skladany ,Revolving Door Profiles,Non Former Members of Congress
Akin Gump et al,"$180,000 ",Citigroup Management Corp, S Bruce Wilson ,Revolving Door Profiles,Non Former Members of Congress
Alston & Bird,"$30,000 ",Citicorp Credit Service, Thomas E Crocker ,Revolving Door Profiles,Non Former Members of Congress
Arter & Hadden,"$260,000 ",Citigroup Management Corp, Dan Cohen ,No Revolving Door Profiles,Non Former Members of Congress
Arter & Hadden,"$260,000 ",Citigroup Management Corp, Tom Loeffler ,Revolving Door Profiles,Former Members of Congress
Arter & Hadden,"$260,000 ",Citigroup Management Corp, Jon Plebani ,Revolving Door Profiles,Non Former Members of Congress
Baker & Hostetler,"$260,000 ",Citigroup Management Corp, William F Conroy ,No Revolving Door Profiles,Non Former Members of Congress
Baker & Hostetler,"$260,000 ",Citigroup Management Corp, Matthew J Dolan ,Revolving Door Profiles,Non Former Members of Congress
Baker & Hostetler,"$260,000 ",Citigroup Management Corp, Frederick H Graefe ,Revolving Door Profiles,Non Former Members of Congress
Baker & Hostetler,"$260,000 ",Citigroup Management Corp, Steven A Lotterer ,No Revolving Door Profiles,Non Former Members of Congress
Baker & Hostetler,"$260,000 ",Citigroup Management Corp, David L Marshall ,No Revolving Door Profiles,Non Former Members of Congress
Baker & Hostetler,"$260,000 ",Citigroup Management Corp, Meghan E Muldoon ,No Revolving Door Profiles,Non Former Members of Congress
Baker & Hostetler,"$260,000 ",Citigroup Management Corp, Kathleen M Sullivan ,No Revolving Door Profiles,Non Former Members of Congress
Baker & Hostetler,"$260,000 ",Citigroup Management Corp, Guy A Vander Jagt ,Revolving Door Profiles,Former Members of Congress
Barnett Sivon & Natter,"$320,000 ",Citigroup Management Corp, Robert E Barnett ,Revolving Door Profiles,Non Former Members of Congress
Barnett Sivon & Natter,"$320,000 ",Citigroup Management Corp, James C Sivon ,Revolving Door Profiles,Non Former Members of Congress
Barnett Sivon & Natter,"$320,000 ",Citigroup Management Corp, Maura Solomon Woosley ,Revolving Door Profiles,Non Former Members of Congress
Barrett Michael F Jr,"$20,000 ",Citigroup Management Corp, Michael F Jr Barrett ,Revolving Door Profiles,Non Former Members of Congress
Biklen Stephen C,$0 ,Citibank Student Loan Corp, Stephen C Biklen ,No Revolving Door Profiles,Non Former Members of Congress
Callister Nebeker & McCullough,"$40,000 ",Citigroup Management Corp, Jan M Bergeson ,No Revolving Door Profiles,Non Former Members of Congress
Callister Nebeker & McCullough,"$40,000 ",Citigroup Management Corp, Louis H Callister ,No Revolving Door Profiles,Non Former Members of Congress
Campbell-Crane & Assoc,"$60,000 ",Citigroup Management Corp, Jeanne M Campbell ,Revolving Door Profiles,Non Former Members of Congress
Campbell-Crane & Assoc,"$60,000 ",Citigroup Management Corp, Daniel M Crane ,Revolving Door Profiles,Non Former Members of Congress
Citigroup Management Corp,"$7,290,000 ",, Michael P Andrews ,Revolving Door Profiles,Non Former Members of Congress
Citigroup Management Corp,"$7,290,000 ",, Heidi S Coppola ,No Revolving Door Profiles,Non Former Members of Congress
Citigroup Management Corp,"$7,290,000 ",, S Colin Dowling ,No Revolving Door Profiles,Non Former Members of Congress
Citigroup Management Corp,"$7,290,000 ",, Abe L Frank ,No Revolving Door Profiles,Non Former Members of Congress
Citigroup Management Corp,"$7,290,000 ",, Martha A Golden ,No Revolving Door Profiles,Non Former Members of Congress
Citigroup Management Corp,"$7,290,000 ",, Peter J Gray ,No Revolving Door Profiles,Non Former Members of Congress
Citigroup Management Corp,"$7,290,000 ",, John H Hanley ,No Revolving Door Profiles,Non Former Members of Congress
Citigroup Management Corp,"$7,290,000 ",, Stephen A Hopkins ,No Revolving Door Profiles,Non Former Members of Congress
Citigroup Management Corp,"$7,290,000 ",, Lionel C Johnson ,Revolving Door Profiles,Non Former Members of Congress
Citigroup Management Corp,"$7,290,000 ",, Gregory J Koczanski ,No Revolving Door Profiles,Non Former Members of Congress
Citigroup Management Corp,"$7,290,000 ",, Jeffrey R Levey ,No Revolving Door Profiles,Non Former Members of Congress
Citigroup Management Corp,"$7,290,000 ",, Roger Nathaniel Levy ,No Revolving Door Profiles,Non Former Members of Congress
Citigroup Management Corp,"$7,290,000 ",, Darina C McKelvie ,No Revolving Door Profiles,Non Former Members of Congress
