"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Adams & Zottarelli","$20000","Independent Bankers Assn of Texas"," Angelo P Zottarelli ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Bankers Assn","$841604",""," Lexandra Maroulis Cronmmiller ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Bankers Assn","$841604",""," Ronald K Ence ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Bankers Assn","$841604",""," Martin T Farmer ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Bankers Assn","$841604",""," Anne M Grochala ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Bankers Assn","$841604",""," Kenneth A Guenther ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Bankers Assn","$841604",""," Robin Y Jackson ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Bankers Assn","$841604",""," Mark K Scanlan ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Bankers Assn","$841604",""," Herbert L Spira ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Bankers Assn","$841604",""," Karen M Thomas ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Bankers Assn","$841604",""," Viveca Y Ware ","No Revolving Door Profiles","Non Former Members of Congress"
"Pace Companies","$40000","Independent Bankers Assn of Texas"," Scott Bacey ","No Revolving Door Profiles","Non Former Members of Congress"
"Pace Companies","$40000","Independent Bankers Assn of Texas"," Theodore H Bernstein ","No Revolving Door Profiles","Non Former Members of Congress"
"Pace Companies","$40000","Independent Bankers Assn of Texas"," James W Wise ","No Revolving Door Profiles","Non Former Members of Congress"
