"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Advanced Strategies","$40000","State Street Bank & Trust"," John R Sasso ","No Revolving Door Profiles","Non Former Members of Congress"
"Barbour Griffith & Rogers","$120000","State Street Bank & Trust"," Haley Barbour ","Revolving Door Profiles","Non Former Members of Congress"
"Barbour Griffith & Rogers","$120000","State Street Bank & Trust"," Ed W Gillespie ","Revolving Door Profiles","Non Former Members of Congress"
"Barbour Griffith & Rogers","$120000","State Street Bank & Trust"," Lanny Griffith ","Revolving Door Profiles","Non Former Members of Congress"
"Barbour Griffith & Rogers","$120000","State Street Bank & Trust"," Henry Chris Henick ","No Revolving Door Profiles","Non Former Members of Congress"
"Barbour Griffith & Rogers","$120000","State Street Bank & Trust"," Loren Monroe ","Revolving Door Profiles","Non Former Members of Congress"
"Barbour Griffith & Rogers","$120000","State Street Bank & Trust"," Edward M Jr Rogers ","Revolving Door Profiles","Non Former Members of Congress"
"Barbour Griffith & Rogers","$120000","State Street Bank & Trust"," Brent Thompson ","No Revolving Door Profiles","Non Former Members of Congress"
"O'Connor & Hannan","$120000","State Street Bank & Trust"," Timothy W Jenkins ","No Revolving Door Profiles","Non Former Members of Congress"
"O'Connor & Hannan","$120000","State Street Bank & Trust"," Thomas H Quinn ","Revolving Door Profiles","Non Former Members of Congress"
"O'Connor & Hannan","$120000","State Street Bank & Trust"," Colin T Roskey ","Revolving Door Profiles","Non Former Members of Congress"
