"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Groom Law Group","$20000","Wachovia Corp"," Jon William Breyfogle ","Revolving Door Profiles","Non Former Members of Congress"
"Sullivan & Cromwell","$0","Wachovia Corp"," H Rodgin Cohen ","No Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$580000","Wachovia Corp"," Laricke Blanchard ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$580000","Wachovia Corp"," Winfield P Crigler ","No Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$580000","Wachovia Corp"," Butler C Jr Derrick ","No Revolving Door Profiles","Former Members of Congress"
"Williams & Jensen","$580000","Wachovia Corp"," David E Franasiak ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$580000","Wachovia Corp"," Robert E Glennon ","No Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$580000","Wachovia Corp"," Patricia M Haisten ","No Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$580000","Wachovia Corp"," Jack Steven Hart ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$580000","Wachovia Corp"," Kevin B Kimble ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$580000","Wachovia Corp"," David M Landers ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$580000","Wachovia Corp"," Anthony J Roda ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$580000","Wachovia Corp"," Joseph L Seidel ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$580000","Wachovia Corp"," Mary L Whalen ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$580000","Wachovia Corp"," Mary B Zetwick ","No Revolving Door Profiles","Non Former Members of Congress"
