"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"AFSA Data Corp","$20000",""," Mary F Bushman ","No Revolving Door Profiles","Non Former Members of Congress"
"Bingham Dana & Gould","$260000","FleetBoston Financial"," William H Boger ","Revolving Door Profiles","Non Former Members of Congress"
"Bingham Dana & Gould","$260000","FleetBoston Financial"," Paul S Quinn ","Revolving Door Profiles","Non Former Members of Congress"
"FleetBoston Financial","$360000",""," Christian M Abeel ","No Revolving Door Profiles","Non Former Members of Congress"
"FleetBoston Financial","$360000",""," William T Cunningham ","No Revolving Door Profiles","Non Former Members of Congress"
"FleetBoston Financial","$360000",""," James Fx Doherty ","No Revolving Door Profiles","Non Former Members of Congress"
"FleetBoston Financial","$360000",""," Joseph Gianni ","No Revolving Door Profiles","Non Former Members of Congress"
"FleetBoston Financial","$360000",""," Brain P Grip ","No Revolving Door Profiles","Non Former Members of Congress"
"FleetBoston Financial","$360000",""," John P Hamill ","No Revolving Door Profiles","Non Former Members of Congress"
"FleetBoston Financial","$360000",""," Deirdre Briggs Phillips ","No Revolving Door Profiles","Non Former Members of Congress"
"FleetBoston Financial","$360000",""," Agnes Bundy Scanlon ","No Revolving Door Profiles","Non Former Members of Congress"
"FleetBoston Financial","$360000",""," Tracy D Taylor ","Revolving Door Profiles","Non Former Members of Congress"
