"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Baker & Hostetler","$0","KeyCorp"," William F Conroy ","No Revolving Door Profiles","Non Former Members of Congress"
"Baker & Hostetler","$0","KeyCorp"," Matthew J Dolan ","Revolving Door Profiles","Non Former Members of Congress"
"Baker & Hostetler","$0","KeyCorp"," Frederick H Graefe ","Revolving Door Profiles","Non Former Members of Congress"
"Baker & Hostetler","$0","KeyCorp"," Steven A Lotterer ","No Revolving Door Profiles","Non Former Members of Congress"
"Baker & Hostetler","$0","KeyCorp"," Meghan E Muldoon ","No Revolving Door Profiles","Non Former Members of Congress"
"Baker & Hostetler","$0","KeyCorp"," Kathleen M Sullivan ","No Revolving Door Profiles","Non Former Members of Congress"
"Baker & Hostetler","$0","KeyCorp"," Guy A Vander Jagt ","Revolving Door Profiles","Former Members of Congress"
"Consultants International Group","$0","McDonald Investments"," David Biltchik ","No Revolving Door Profiles","Non Former Members of Congress"
"Consultants International Group","$0","McDonald Investments"," David O'Callaghan ","No Revolving Door Profiles","Non Former Members of Congress"
"Consultants International Group","$0","McDonald Investments"," Henry Owen ","No Revolving Door Profiles","Non Former Members of Congress"
"KeyCorp","$80000",""," Peter E Brereton ","No Revolving Door Profiles","Non Former Members of Congress"
