"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Boland & Madigan","$60000","PNC Bank Corp"," Terry L Haines ","Revolving Door Profiles","Non Former Members of Congress"
"Boland & Madigan","$60000","PNC Bank Corp"," Peter Madigan ","Revolving Door Profiles","Non Former Members of Congress"
"Boland & Madigan","$60000","PNC Bank Corp"," B Callan Nagle ","No Revolving Door Profiles","Non Former Members of Congress"
"MWW/Strategic Communications","$20000","PNC Bank Corp"," Myndi Gottlieb ","No Revolving Door Profiles","Non Former Members of Congress"
"MWW/Strategic Communications","$20000","PNC Bank Corp"," Lisa P Kinard ","Revolving Door Profiles","Non Former Members of Congress"
"MWW/Strategic Communications","$20000","PNC Bank Corp"," James 'Jim' Link ","Revolving Door Profiles","Non Former Members of Congress"
"MWW/Strategic Communications","$20000","PNC Bank Corp"," Christine Pellerin ","Revolving Door Profiles","Non Former Members of Congress"
"MWW/Strategic Communications","$20000","PNC Bank Corp"," Jonathan B Slade ","Revolving Door Profiles","Non Former Members of Congress"
"MWW/Strategic Communications","$20000","PNC Bank Corp"," Francessa Wakem ","No Revolving Door Profiles","Non Former Members of Congress"
"PNC Bank Corp","$360000",""," Thomas F Lamb ","No Revolving Door Profiles","Non Former Members of Congress"
