"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Bank One Corp","$240000",""," Annie Hall ","No Revolving Door Profiles","Non Former Members of Congress"
"Bank One Corp","$240000",""," Carter K McDowell ","Revolving Door Profiles","Non Former Members of Congress"
"Bank One Corp","$240000",""," Barbara L Stewart ","No Revolving Door Profiles","Non Former Members of Congress"
"Covington & Burling","$0","Bank One Corp"," Harvey Applebaum ","No Revolving Door Profiles","Non Former Members of Congress"
"Covington & Burling","$0","Bank One Corp"," Roderick A De Arment ","Revolving Door Profiles","Non Former Members of Congress"
"Covington & Burling","$0","Bank One Corp"," John C Dugan ","Revolving Door Profiles","Non Former Members of Congress"
"Covington & Burling","$0","Bank One Corp"," Erin M Egan ","No Revolving Door Profiles","Non Former Members of Congress"
"Covington & Burling","$0","Bank One Corp"," Stanford McCoy ","No Revolving Door Profiles","Non Former Members of Congress"
"Covington & Burling","$0","Bank One Corp"," Stuart C Stock ","Revolving Door Profiles","Non Former Members of Congress"
"Covington & Burling","$0","Bank One Corp"," Reeves Westbrook ","No Revolving Door Profiles","Non Former Members of Congress"
