"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"B&D Sagamore","$100000","Chase Manhattan"," Theodore W Bristol ","Revolving Door Profiles","Non Former Members of Congress"
"B&D Sagamore","$100000","Chase Manhattan"," Frank S Swain ","Revolving Door Profiles","Non Former Members of Congress"
"Chase Manhattan","$4680000",""," L Thomas Block ","No Revolving Door Profiles","Non Former Members of Congress"
"Chase Manhattan","$4680000",""," Susan L Meade ","No Revolving Door Profiles","Non Former Members of Congress"
"Chase Manhattan","$4680000",""," John R Price ","No Revolving Door Profiles","Non Former Members of Congress"
"Chase Manhattan","$4680000",""," Edward W Russell ","No Revolving Door Profiles","Non Former Members of Congress"
"Hohlt Group","$80000","Chase Manhattan"," Richard F Hohlt ","Revolving Door Profiles","Non Former Members of Congress"
"Miller Hamilton et al","$0","Chase Manhattan"," Palmer C Hamilton ","No Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$60000","Chase Manhattan"," David E Franasiak ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$60000","Chase Manhattan"," Robert E Glennon ","No Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$60000","Chase Manhattan"," Anthony J Roda ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$60000","Chase Manhattan"," Frank Vlossak ","Revolving Door Profiles","Non Former Members of Congress"
