"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Akin Gump et al","$120000","Citigroup Management Corp"," Marlene M Colucci ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$120000","Citigroup Management Corp"," Gary A Heimberg ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$120000","Citigroup Management Corp"," Steven R Ross ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$120000","Citigroup Management Corp"," Barney J Jr Skladany ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$120000","Citigroup Management Corp"," Jose Villarreal ","No Revolving Door Profiles","Non Former Members of Congress"
"Arter & Hadden","$20000","Citigroup Management Corp"," Dan Cohen ","No Revolving Door Profiles","Non Former Members of Congress"
"Arter & Hadden","$20000","Citigroup Management Corp"," Tom Loeffler ","Revolving Door Profiles","Former Members of Congress"
"Arter & Hadden","$20000","Citigroup Management Corp"," Jon Plebani ","Revolving Door Profiles","Non Former Members of Congress"
"Associates First Capital","$150000",""," Sherry C Whitley ","No Revolving Door Profiles","Non Former Members of Congress"
"Associates First Capital","$150000",""," Judy K Winkel ","No Revolving Door Profiles","Non Former Members of Congress"
"Baker & Hostetler","$120000","Citigroup Management Corp"," William F Conroy ","No Revolving Door Profiles","Non Former Members of Congress"
"Baker & Hostetler","$120000","Citigroup Management Corp"," Matthew J Dolan ","Revolving Door Profiles","Non Former Members of Congress"
"Baker & Hostetler","$120000","Citigroup Management Corp"," Frederick H Graefe ","Revolving Door Profiles","Non Former Members of Congress"
"Baker & Hostetler","$120000","Citigroup Management Corp"," Kathleen M Kerrigan ","Revolving Door Profiles","Non Former Members of Congress"
"Baker & Hostetler","$120000","Citigroup Management Corp"," Steven A Lotterer ","No Revolving Door Profiles","Non Former Members of Congress"
"Baker & Hostetler","$120000","Citigroup Management Corp"," David L Marshall ","No Revolving Door Profiles","Non Former Members of Congress"
"Baker & Hostetler","$120000","Citigroup Management Corp"," Meghan E Muldoon ","No Revolving Door Profiles","Non Former Members of Congress"
"Baker & Hostetler","$120000","Citigroup Management Corp"," Guy A Vander Jagt ","Revolving Door Profiles","Former Members of Congress"
"Barnett Sivon & Natter","$480000","Citigroup Management Corp"," Robert E Barnett ","Revolving Door Profiles","Non Former Members of Congress"
"Barnett Sivon & Natter","$480000","Citigroup Management Corp"," Jose S Rivas ","No Revolving Door Profiles","Non Former Members of Congress"
"Barnett Sivon & Natter","$480000","Citigroup Management Corp"," James C Sivon ","Revolving Door Profiles","Non Former Members of Congress"
"Barrett Michael F Jr","$60000","Citigroup Management Corp"," Michael F Jr Barrett ","Revolving Door Profiles","Non Former Members of Congress"
"Boland & Madigan","$120000","Associates First Capital"," Paul Behrends ","Revolving Door Profiles","Non Former Members of Congress"
"Boland & Madigan","$120000","Associates First Capital"," Michael Boland ","Revolving Door Profiles","Non Former Members of Congress"
"Boland & Madigan","$120000","Associates First Capital"," James P Gallagher ","Revolving Door Profiles","Non Former Members of Congress"
"Boland & Madigan","$120000","Associates First Capital"," Terry L Haines ","Revolving Door Profiles","Non Former Members of Congress"
