"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Janus-Merritt Strategies","$20000","Afin Securities"," Jessica D Berk ","No Revolving Door Profiles","Non Former Members of Congress"
"Janus-Merritt Strategies","$20000","Afin Securities"," Scott Hoffman ","No Revolving Door Profiles","Non Former Members of Congress"
"Janus-Merritt Strategies","$20000","Afin Securities"," Bethany A Noble ","No Revolving Door Profiles","Non Former Members of Congress"
"Janus-Merritt Strategies","$20000","Afin Securities"," Mark J Robertson ","No Revolving Door Profiles","Non Former Members of Congress"
"Janus-Merritt Strategies","$20000","Afin Securities"," Robert S Robertson ","No Revolving Door Profiles","Non Former Members of Congress"
"Janus-Merritt Strategies","$20000","Afin Securities"," David Safavian ","No Revolving Door Profiles","Non Former Members of Congress"
"Janus-Merritt Strategies","$20000","Afin Securities"," Leah Cosumano Siemienic ","No Revolving Door Profiles","Non Former Members of Congress"
"Janus-Merritt Strategies","$20000","Afin Securities"," Hugo A Romero Velez ","No Revolving Door Profiles","Non Former Members of Congress"
"Janus-Merritt Strategies","$20000","Afin Securities"," J Daniel Walsh ","Revolving Door Profiles","Non Former Members of Congress"
"Janus-Merritt Strategies","$40000","Grupo Financiero Banorte"," Mark J Robertson ","No Revolving Door Profiles","Non Former Members of Congress"
"Janus-Merritt Strategies","$40000","Grupo Financiero Banorte"," Leah Cosumano Siemienic ","No Revolving Door Profiles","Non Former Members of Congress"
"Janus-Merritt Strategies","$40000","Grupo Financiero Banorte"," Hugo A Romero Velez ","No Revolving Door Profiles","Non Former Members of Congress"
"Janus-Merritt Strategies","$40000","Grupo Financiero Banorte"," J Daniel Walsh ","Revolving Door Profiles","Non Former Members of Congress"
