"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Ernst & Young","$60000","Metropolitan Bank Group"," W Douglas Badger ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$60000","Metropolitan Bank Group"," Brian Conklin ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$60000","Metropolitan Bank Group"," Lauren A Darling ","No Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$60000","Metropolitan Bank Group"," John L Doney ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$60000","Metropolitan Bank Group"," Jayne T Fitzgerald ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$60000","Metropolitan Bank Group"," Donna Steele Flynn ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$60000","Metropolitan Bank Group"," LaBrenda Garrett-Nelson ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$60000","Metropolitan Bank Group"," Gary Gasper ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$60000","Metropolitan Bank Group"," Bruce A Gates ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$60000","Metropolitan Bank Group"," Nick D Giordano ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$60000","Metropolitan Bank Group"," Cathy Koch ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$60000","Metropolitan Bank Group"," Robert J Leonard ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$60000","Metropolitan Bank Group"," Richard J Meltzer ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$60000","Metropolitan Bank Group"," Philip D Moseley ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$60000","Metropolitan Bank Group"," John D Porter ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$60000","Metropolitan Bank Group"," Robert M Rozen ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$60000","Metropolitan Bank Group"," Tim Urban ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$60000","Metropolitan Bank Group"," Mark A Weinberger ","Revolving Door Profiles","Non Former Members of Congress"
