"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Cator G Thomas","$80000","National Assn of Govt Guaranteed Lenders"," G Thomas Cator ","No Revolving Door Profiles","Non Former Members of Congress"
"National Assn of Govt Guaranteed Lenders","$280000",""," Karen P High ","No Revolving Door Profiles","Non Former Members of Congress"
"National Assn of Govt Guaranteed Lenders","$280000",""," Jacqueline R Randle ","No Revolving Door Profiles","Non Former Members of Congress"
"National Assn of Govt Guaranteed Lenders","$280000",""," Anthony R Wilkinson ","No Revolving Door Profiles","Non Former Members of Congress"
"Powers Thomas G","$60000","National Assn of Govt Guaranteed Lenders"," Thomas G Powers ","Revolving Door Profiles","Non Former Members of Congress"
"Susan J White & Assoc","$40000","National Assn of Govt Guaranteed Lenders"," Susan J White ","No Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Berl Bernhard ","Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Matthew C Bernstein ","Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Jim Blanchard ","Revolving Door Profiles","Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Denis J Dwyer ","Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Andrew D Eskin ","Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Rosemary B Freeman ","No Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Anne C Gillespie ","No Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Andrea J Grant ","Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Marla P Grossman ","Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Lloyd N Hand ","Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Jamie Brown Hantman ","Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Vicki E Hart ","Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Noelle M Hawley ","Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Jane Hickie ","No Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," David B Jacobsohn ","No Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Gary J Klein ","Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Robbie N Koch ","No Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Cristina Krasow ","Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Lawrence E Levinson ","Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Jorge L Lopez ","No Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Layn M Saint Louis ","No Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Jenifer J Martin ","No Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Harry C Jr McPherson ","Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Martin Mendelsohn ","No Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," John A Merrigan ","Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," John R Jr Mietus ","No Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Evan M Migdail ","No Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," William H Minor ","Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Mikol S Neilson ","No Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Nell Payne ","Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Steven R Phillips ","Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," James A Pickup ","Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Ann W Richards ","No Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Timothy M Rutten ","Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Ignacio E Sanchez ","No Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Susannah W Shakow ","No Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Kapil Sharma ","Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Jessica A Wallace ","No Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Linda M Weinberg ","No Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," David A Weiss ","Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Lisa McHenry White ","No Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Linda J Willard ","Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," Theresa M Youngblood ","Revolving Door Profiles","Non Former Members of Congress"
"Verner Liipfert et al","$0","National Assn of Govt Guaranteed Lenders"," John H Zentay ","Revolving Door Profiles","Non Former Members of Congress"
