"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Columbus Group","$120000","National Cooperative Bank"," Stephen D Johnson ","No Revolving Door Profiles","Non Former Members of Congress"
"Columbus Group","$120000","National Cooperative Bank"," James P III Keese ","Revolving Door Profiles","Non Former Members of Congress"
"Columbus Group","$120000","National Cooperative Bank"," David J Pratt ","No Revolving Door Profiles","Non Former Members of Congress"
"Columbus Group","$120000","National Cooperative Bank"," Diane H Zyats ","No Revolving Door Profiles","Non Former Members of Congress"
"Hessel & Aluise","$60000","National Cooperative Bank"," Timothy J Aluise ","No Revolving Door Profiles","Non Former Members of Congress"
"Hessel & Aluise","$60000","National Cooperative Bank"," Nancy Libson ","No Revolving Door Profiles","Non Former Members of Congress"
"National Cooperative Bank","$200000",""," Charles H Hackman ","No Revolving Door Profiles","Non Former Members of Congress"
"National Cooperative Bank","$200000",""," Terry Lewis ","No Revolving Door Profiles","Non Former Members of Congress"
"Paul Magliocchetti Assoc","$80000","National Cooperative Bank"," Fred J Clark ","Revolving Door Profiles","Non Former Members of Congress"
"Paul Magliocchetti Assoc","$80000","National Cooperative Bank"," Kaylene Green ","Revolving Door Profiles","Non Former Members of Congress"
"Paul Magliocchetti Assoc","$80000","National Cooperative Bank"," Patrick Hiu ","Revolving Door Profiles","Non Former Members of Congress"
"Paul Magliocchetti Assoc","$80000","National Cooperative Bank"," Paul Magliocchetti ","Revolving Door Profiles","Non Former Members of Congress"
"Paul Magliocchetti Assoc","$80000","National Cooperative Bank"," Timothy K Sanders ","Revolving Door Profiles","Non Former Members of Congress"
"Paul Magliocchetti Assoc","$80000","National Cooperative Bank"," Charles Smith ","Revolving Door Profiles","Non Former Members of Congress"
"Paul Magliocchetti Assoc","$80000","National Cooperative Bank"," Dana Stewart ","Revolving Door Profiles","Non Former Members of Congress"
