"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Brustein & Manasevit","$100000","California Dept of Education"," Claire De Winter ","No Revolving Door Profiles","Non Former Members of Congress"
"Charles Group","$40000","California Attorney General's Office"," Ben Bawden ","No Revolving Door Profiles","Non Former Members of Congress"
"Charles Group","$40000","California Attorney General's Office"," Robert B Charles ","Revolving Door Profiles","Non Former Members of Congress"
"Copeland Lowery & Jacquez","$40000","California State Senate"," William D Lowery ","Revolving Door Profiles","Former Members of Congress"
"Copeland Lowery & Jacquez","$40000","California State Senate"," Jeffrey Shockey ","Revolving Door Profiles","Non Former Members of Congress"
"Lussier Gregor et al","$0","California State Board of Equalization"," Janet Gregor ","No Revolving Door Profiles","Non Former Members of Congress"
"Murray Montgomery & O'Donnell","$0","California State Assembly/Cmte on Rules"," Thomas Crawford ","No Revolving Door Profiles","Non Former Members of Congress"
"Murray Montgomery & O'Donnell","$0","California State Assembly/Cmte on Rules"," D Michael Murray ","Revolving Door Profiles","Non Former Members of Congress"
"O'Connor & Hannan","$80000","California Tax Credit Allocation Cmte"," Robert Harmala ","Revolving Door Profiles","Non Former Members of Congress"
"O'Connor & Hannan","$80000","California Tax Credit Allocation Cmte"," Thomas H Quinn ","Revolving Door Profiles","Non Former Members of Congress"
"Schwartz Elinor","$40000","California State Lands Commission"," Elinor Schwartz ","Revolving Door Profiles","Non Former Members of Congress"
"Townsend Public Affairs","$20000","Santa Ana Unified School District"," Christopher Townsend ","No Revolving Door Profiles","Non Former Members of Congress"
"Walter Yep Inc","$20000","Port of Sacramento"," Walter Yep ","Revolving Door Profiles","Non Former Members of Congress"
