"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Wilmer Cutler & Pickering","$40000","Swiss Bankers Assn"," Ursula Bass ","No Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$40000","Swiss Bankers Assn"," Francesca Bignami ","No Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$40000","Swiss Bankers Assn"," Russel J Bruemmer ","No Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$40000","Swiss Bankers Assn"," Robert B Cassidy ","Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$40000","Swiss Bankers Assn"," Steve Charnovitz ","No Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$40000","Swiss Bankers Assn"," Amber Cottle ","Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$40000","Swiss Bankers Assn"," Lloyd N Cutler ","No Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$40000","Swiss Bankers Assn"," C Boyden Gray ","Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$40000","Swiss Bankers Assn"," Neil Jay King ","No Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$40000","Swiss Bankers Assn"," Satish Kini ","No Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$40000","Swiss Bankers Assn"," Heidi Kranz ","No Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$40000","Swiss Bankers Assn"," F David Jr Lake ","No Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$40000","Swiss Bankers Assn"," Jeffrey M Lang ","Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$40000","Swiss Bankers Assn"," Charles S Levy ","Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$40000","Swiss Bankers Assn"," Douglas M Melamed ","No Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$40000","Swiss Bankers Assn"," Juan Millan ","No Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$40000","Swiss Bankers Assn"," Ursula Pfeil ","No Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$40000","Swiss Bankers Assn"," Colin B Picker ","No Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$40000","Swiss Bankers Assn"," Robert Pribble ","No Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$40000","Swiss Bankers Assn"," Leonard M Shambon ","No Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$40000","Swiss Bankers Assn"," Patricia A Sherman ","No Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$40000","Swiss Bankers Assn"," Marianne K Smythe ","Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$40000","Swiss Bankers Assn"," Ali Stoeppelwerth ","No Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$40000","Swiss Bankers Assn"," John A Trenor ","No Revolving Door Profiles","Non Former Members of Congress"
"Wilmer Cutler & Pickering","$40000","Swiss Bankers Assn"," Stuart M Weiser ","No Revolving Door Profiles","Non Former Members of Congress"
