"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"American Bankers Assn","$1890000",""," Jeanine Henderson Arnett ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," James Ballentine ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," Mark Baran ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," John Blanchfield ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," Lisa J Bleier ","Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," Peter L Blocklin ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," Kristin Butterfield ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," John J Byrne ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," C Dawn Causey ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," Kenneth Clayton ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," Dionne M Davies ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," Kerry Early ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," Nessa Feddis ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," Donna J Fisher ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," Robert Fouberg ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," William Douglas Johnson ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," Bess Kozlow ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," Thomas McElligott ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," James D McLaughlin ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," Sarah A Miller ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," Geoffrey Mullins ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," J Leon Peace ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," Gerald Joseph Pigg ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," Sharon Raymond ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," Deborah L Shannon ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," Paul A Smith ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," Floyd Stoner ","No Revolving Door Profiles","Non Former Members of Congress"
