"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Davis Polk & Wardwell","$100000","Wells Fargo"," Theodore A Doremus ","Revolving Door Profiles","Non Former Members of Congress"
"Doremus & Assoc","$100000","Wells Fargo"," Theodore A Doremus ","Revolving Door Profiles","Non Former Members of Congress"
"HD Vest Financial Services","$20000",""," Terra Gray ","No Revolving Door Profiles","Non Former Members of Congress"
"Kirkpatrick & Lockhart","$0","HD Vest Financial Services"," Tim Peckinpaugh ","Revolving Door Profiles","Non Former Members of Congress"
"Rural Community Insurance Services","$0",""," Mike Connealy ","No Revolving Door Profiles","Non Former Members of Congress"
"Rural Community Insurance Services","$0",""," Linda Vickers ","No Revolving Door Profiles","Non Former Members of Congress"
"Vickers Linda","$244000","Rural Community Insurance Services"," Linda Vickers ","No Revolving Door Profiles","Non Former Members of Congress"
"Wells Fargo","$650000",""," Anita B Ecoloff ","No Revolving Door Profiles","Non Former Members of Congress"
"Wells Fargo","$650000",""," Bill Kelly ","No Revolving Door Profiles","Non Former Members of Congress"
