"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Winston & Strawn","$40000","Council of Development Finance Agencies"," Beryl F Jr Anthony ","Revolving Door Profiles","Former Members of Congress"
"Winston & Strawn","$40000","Council of Development Finance Agencies"," Wesley Bizzell ","Revolving Door Profiles","Non Former Members of Congress"
"Winston & Strawn","$40000","Council of Development Finance Agencies"," David Broome ","Revolving Door Profiles","Non Former Members of Congress"
"Winston & Strawn","$40000","Council of Development Finance Agencies"," Thomas M Buchanan ","No Revolving Door Profiles","Non Former Members of Congress"
"Winston & Strawn","$40000","Council of Development Finance Agencies"," James H IV Burnley ","Revolving Door Profiles","Non Former Members of Congress"
"Winston & Strawn","$40000","Council of Development Finance Agencies"," Laura Chenoweth ","No Revolving Door Profiles","Non Former Members of Congress"
"Winston & Strawn","$40000","Council of Development Finance Agencies"," John Fehrenbach ","Revolving Door Profiles","Non Former Members of Congress"
"Winston & Strawn","$40000","Council of Development Finance Agencies"," Edward F JR Gerwin ","No Revolving Door Profiles","Non Former Members of Congress"
"Winston & Strawn","$40000","Council of Development Finance Agencies"," Peter N Hiebert ","Revolving Door Profiles","Non Former Members of Congress"
"Winston & Strawn","$40000","Council of Development Finance Agencies"," Roger A Jr Keller ","No Revolving Door Profiles","Non Former Members of Congress"
"Winston & Strawn","$40000","Council of Development Finance Agencies"," Charles L Kinney ","Revolving Door Profiles","Non Former Members of Congress"
"Winston & Strawn","$40000","Council of Development Finance Agencies"," John C Kirkland ","No Revolving Door Profiles","Non Former Members of Congress"
"Winston & Strawn","$40000","Council of Development Finance Agencies"," John D McMickle ","Revolving Door Profiles","Non Former Members of Congress"
"Winston & Strawn","$40000","Council of Development Finance Agencies"," Thomas L Mills ","Revolving Door Profiles","Non Former Members of Congress"
"Winston & Strawn","$40000","Council of Development Finance Agencies"," John Napier ","Revolving Door Profiles","Former Members of Congress"
"Winston & Strawn","$40000","Council of Development Finance Agencies"," Joseph E O'Leary ","Revolving Door Profiles","Non Former Members of Congress"
"Winston & Strawn","$40000","Council of Development Finance Agencies"," Douglas C Richardson ","Revolving Door Profiles","Non Former Members of Congress"
"Winston & Strawn","$40000","Council of Development Finance Agencies"," John A Waits ","Revolving Door Profiles","Non Former Members of Congress"
