"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Akin Gump et al","$0","Fremont Investors"," Donald C Alexander ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$0","Fremont Investors"," Martina L Bradford ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$0","Fremont Investors"," J David Carlin ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$0","Fremont Investors"," Marlene M Colucci ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$0","Fremont Investors"," Daniel Robert Glickman ","Revolving Door Profiles","Former Members of Congress"
"Akin Gump et al","$0","Fremont Investors"," Karen Goldmeier Green ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$0","Fremont Investors"," Scott M Heimberg ","No Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$0","Fremont Investors"," Christine F Hesse ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$0","Fremont Investors"," Joel Jankowsky ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$0","Fremont Investors"," Janine L Jones ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$0","Fremont Investors"," Jorge Jr Lopez ","No Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$0","Fremont Investors"," Michael J Madigan ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$0","Fremont Investors"," Daniel F McInnis ","No Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$0","Fremont Investors"," Mark C Medish ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$0","Fremont Investors"," Bill Paxon ","Revolving Door Profiles","Former Members of Congress"
"Akin Gump et al","$0","Fremont Investors"," Steven R Ross ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$0","Fremont Investors"," Paul G Scolese ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$0","Fremont Investors"," John M Simmons ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$0","Fremont Investors"," Barney J Jr Skladany ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$0","Fremont Investors"," Karen Bland Toliver ","No Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$0","Fremont Investors"," James R Jr Tucker ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$0","Fremont Investors"," Jose Villarreal ","No Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$0","Fremont Investors"," S Bruce Wilson ","Revolving Door Profiles","Non Former Members of Congress"
