"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Brustein & Manasevit","$80000","California Dept of Education"," Claire De Winter ","No Revolving Door Profiles","Non Former Members of Congress"
"Charles Group","$40000","California Attorney General's Office"," Ben Bawden ","No Revolving Door Profiles","Non Former Members of Congress"
"Charles Group","$40000","California Attorney General's Office"," Robert B Charles ","Revolving Door Profiles","Non Former Members of Congress"
"Copeland Lowery & Jacquez","$80000","California State Board of Equalization"," Lance Larson ","Revolving Door Profiles","Non Former Members of Congress"
"Copeland Lowery & Jacquez","$80000","California State Board of Equalization"," Jeffrey Shockey ","Revolving Door Profiles","Non Former Members of Congress"
"Ferguson Group","$60000","California Dept of Justice"," Elizabeth E Ruebman ","No Revolving Door Profiles","Non Former Members of Congress"
"Ferguson Group","$60000","California Dept of Justice"," Matthew R Simmons ","No Revolving Door Profiles","Non Former Members of Congress"
"Lussier Gregor et al","$0","California Franchise Tax Board"," Janet Gregor ","No Revolving Door Profiles","Non Former Members of Congress"
"Lussier Gregor et al","$0","California Franchise Tax Board"," Don Marlais ","No Revolving Door Profiles","Non Former Members of Congress"
"Lussier Gregor et al","$0","California State Board of Equalization"," Janet Gregor ","No Revolving Door Profiles","Non Former Members of Congress"
"Lussier Gregor et al","$0","California State Board of Equalization"," Don Marlais ","No Revolving Door Profiles","Non Former Members of Congress"
"Lussier Gregor et al","$0","California State Senate"," Janet Gregor ","No Revolving Door Profiles","Non Former Members of Congress"
"Lussier Gregor et al","$0","California State Senate"," Don Marlais ","No Revolving Door Profiles","Non Former Members of Congress"
"MARC Assoc","$40000","Santa Ana Unified School District"," Daniel Maldonado ","No Revolving Door Profiles","Non Former Members of Congress"
"MARC Assoc","$40000","Santa Ana Unified School District"," Eve Maldonado O'Toole ","No Revolving Door Profiles","Non Former Members of Congress"
"MARC Assoc","$40000","Santa Ana Unified School District"," Shannon Penberthy ","No Revolving Door Profiles","Non Former Members of Congress"
"Schwartz Elinor","$40000","California State Lands Commission"," Elinor Schwartz ","Revolving Door Profiles","Non Former Members of Congress"
"Scribner Hall & Thompson","$0","California Dept of Insurance"," Lori J Brown ","Revolving Door Profiles","Non Former Members of Congress"
"Scribner Hall & Thompson","$0","California Dept of Insurance"," Peter H Winslow ","Revolving Door Profiles","Non Former Members of Congress"
"Townsend Public Affairs","$40000","Santa Ana Unified School District"," Christopher Townsend ","No Revolving Door Profiles","Non Former Members of Congress"
"Venable Baetjer et al","$0","California Tax Credit Allocation Cmte"," Birch E Bayh ","Revolving Door Profiles","Former Members of Congress"
"Venable Baetjer et al","$0","California Tax Credit Allocation Cmte"," Kevin O Faley ","Revolving Door Profiles","Non Former Members of Congress"
"Venable Baetjer et al","$0","California Tax Credit Allocation Cmte"," Michael J Ferrell ","No Revolving Door Profiles","Non Former Members of Congress"
"Venable Baetjer et al","$0","California Tax Credit Allocation Cmte"," Robert Harmala ","Revolving Door Profiles","Non Former Members of Congress"
"Venable Baetjer et al","$0","California Tax Credit Allocation Cmte"," Patrick E O'Donnell ","Revolving Door Profiles","Non Former Members of Congress"
"Venable Baetjer et al","$0","California Tax Credit Allocation Cmte"," Thomas H Quinn ","Revolving Door Profiles","Non Former Members of Congress"
"Venable Baetjer et al","$0","California Tax Credit Allocation Cmte"," Morgan W III Reed ","No Revolving Door Profiles","Non Former Members of Congress"
"Venable Baetjer et al","$0","California Tax Credit Allocation Cmte"," Robert L Jr Smith ","Revolving Door Profiles","Non Former Members of Congress"
"Walter Yep Inc","$20000","Port of Sacramento"," Walter Yep ","Revolving Door Profiles","Non Former Members of Congress"
