"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Clark & Weinstock","$200000","BNP Paribas"," David J Berteau ","Revolving Door Profiles","Non Former Members of Congress"
"Clark & Weinstock","$200000","BNP Paribas"," Brian Bieron ","Revolving Door Profiles","Non Former Members of Congress"
"Clark & Weinstock","$200000","BNP Paribas"," Kent Bonham ","Revolving Door Profiles","Non Former Members of Congress"
"Clark & Weinstock","$200000","BNP Paribas"," Daniel Cruise ","No Revolving Door Profiles","Non Former Members of Congress"
"Clark & Weinstock","$200000","BNP Paribas"," Vic Fazio ","Revolving Door Profiles","Former Members of Congress"
"Clark & Weinstock","$200000","BNP Paribas"," Niles Godes ","Revolving Door Profiles","Non Former Members of Congress"
"Clark & Weinstock","$200000","BNP Paribas"," Ed Kutler ","Revolving Door Profiles","Non Former Members of Congress"
"Clark & Weinstock","$200000","BNP Paribas"," Sandi Stuart ","Revolving Door Profiles","Non Former Members of Congress"
"Clark & Weinstock","$200000","BNP Paribas"," Vin Weber ","Revolving Door Profiles","Former Members of Congress"
"Dutko Group","$100000","BNP Paribas"," Louis Lehrman ","Revolving Door Profiles","Non Former Members of Congress"
"Dutko Group","$100000","BNP Paribas"," Steve Perry ","Revolving Door Profiles","Non Former Members of Congress"
