"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Akin Gump et al","$40000","Bank of New York"," J David Carlin ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$40000","Bank of New York"," Smith W Davis ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$40000","Bank of New York"," Christine F Hesse ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$40000","Bank of New York"," Wynn Segall ","No Revolving Door Profiles","Non Former Members of Congress"
"Johnson Madigan et al","$100000","Bank of New York"," Michael Boland ","Revolving Door Profiles","Non Former Members of Congress"
"Johnson Madigan et al","$100000","Bank of New York"," David E Johnson ","Revolving Door Profiles","Non Former Members of Congress"
"Johnson Madigan et al","$100000","Bank of New York"," Cristina Krasow ","Revolving Door Profiles","Non Former Members of Congress"
"Johnson Madigan et al","$100000","Bank of New York"," Peter Madigan ","Revolving Door Profiles","Non Former Members of Congress"
"Johnson Madigan et al","$100000","Bank of New York"," Jeffrey J Peck ","Revolving Door Profiles","Non Former Members of Congress"
"Johnson Madigan et al","$100000","Bank of New York"," Leonard Swinehart ","Revolving Door Profiles","Non Former Members of Congress"
"Parry Romani et al","$80000","Bank of New York"," Edward Baxter ","Revolving Door Profiles","Non Former Members of Congress"
"Parry Romani et al","$80000","Bank of New York"," Dennis Deconcini ","Revolving Door Profiles","Former Members of Congress"
"Parry Romani et al","$80000","Bank of New York"," John M Haddow ","Revolving Door Profiles","Non Former Members of Congress"
"Parry Romani et al","$80000","Bank of New York"," James W Rock ","Revolving Door Profiles","Non Former Members of Congress"
"Parry Romani et al","$80000","Bank of New York"," Romano Romani ","Revolving Door Profiles","Non Former Members of Congress"
"Parry Romani et al","$80000","Bank of New York"," Steven D Symms ","Revolving Door Profiles","Former Members of Congress"
"Sullivan & Cromwell","$0","Bank of New York"," Samuel R III Woodall ","Revolving Door Profiles","Non Former Members of Congress"
