"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Covington & Burling","$950000","Global Crossing Development Corp"," Stuart E Eizenstat ","Revolving Door Profiles","Non Former Members of Congress"
"Covington & Burling","$950000","Global Crossing Development Corp"," David Fagan ","No Revolving Door Profiles","Non Former Members of Congress"
"Covington & Burling","$950000","Global Crossing Development Corp"," Eric H Holder ","Revolving Door Profiles","Non Former Members of Congress"
"Covington & Burling","$950000","Global Crossing Development Corp"," David M Marchick ","Revolving Door Profiles","Non Former Members of Congress"
"Covington & Burling","$950000","Global Crossing Development Corp"," Mark E Plotkin ","No Revolving Door Profiles","Non Former Members of Congress"
"Kirkpatrick & Lockhart","$60000","Global Crossing Unsecured Creditors Cmte"," Darrell Conner ","Revolving Door Profiles","Non Former Members of Congress"
"Kirkpatrick & Lockhart","$60000","Global Crossing Unsecured Creditors Cmte"," Robert William Davis ","No Revolving Door Profiles","Former Members of Congress"
"Kirkpatrick & Lockhart","$60000","Global Crossing Unsecured Creditors Cmte"," Pamela Garvie ","Revolving Door Profiles","Non Former Members of Congress"
"Kirkpatrick & Lockhart","$60000","Global Crossing Unsecured Creditors Cmte"," Slade Gorton ","Revolving Door Profiles","Former Members of Congress"
"Kirkpatrick & Lockhart","$60000","Global Crossing Unsecured Creditors Cmte"," Bruce Heiman ","Revolving Door Profiles","Non Former Members of Congress"
"Kirkpatrick & Lockhart","$60000","Global Crossing Unsecured Creditors Cmte"," Richard Kirby ","Revolving Door Profiles","Non Former Members of Congress"
"Kirkpatrick & Lockhart","$60000","Global Crossing Unsecured Creditors Cmte"," Roger Morse ","Revolving Door Profiles","Non Former Members of Congress"
"Kirkpatrick & Lockhart","$60000","Global Crossing Unsecured Creditors Cmte"," Michael J O'Neil ","Revolving Door Profiles","Non Former Members of Congress"
"Kirkpatrick & Lockhart","$60000","Global Crossing Unsecured Creditors Cmte"," W Dennis Stephens ","Revolving Door Profiles","Non Former Members of Congress"
"Kirkpatrick & Lockhart","$60000","Global Crossing Unsecured Creditors Cmte"," Martin Stern ","Revolving Door Profiles","Non Former Members of Congress"
"Kirkpatrick & Lockhart","$60000","Global Crossing Unsecured Creditors Cmte"," W David Thomas ","Revolving Door Profiles","Non Former Members of Congress"
"Kirkpatrick & Lockhart","$60000","Global Crossing Unsecured Creditors Cmte"," Steven Valentine ","Revolving Door Profiles","Non Former Members of Congress"
"Skadden Arps et al","$400000","Global Crossing Development Corp"," Ivan A Schlager ","Revolving Door Profiles","Non Former Members of Congress"
