"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Bombardier Transportation USA","$60000",""," Jeanine Ipsen Black ","No Revolving Door Profiles","Non Former Members of Congress"
"Bombardier Transportation USA","$60000",""," Peter M Stetler ","No Revolving Door Profiles","Non Former Members of Congress"
"Cassidy & Assoc","$80000","Bombardier Inc"," Jordan Bernstein ","Revolving Door Profiles","Non Former Members of Congress"
"Cassidy & Assoc","$80000","Bombardier Inc"," Shawn Edwards ","Revolving Door Profiles","Non Former Members of Congress"
"Cassidy & Assoc","$80000","Bombardier Inc"," Daniel J McNamara ","Revolving Door Profiles","Non Former Members of Congress"
"Cassidy & Assoc","$80000","Bombardier Inc"," Terry L Paul ","Revolving Door Profiles","Non Former Members of Congress"
"Cassidy & Assoc","$80000","Bombardier Inc"," Markus Videnieks ","No Revolving Door Profiles","Non Former Members of Congress"
"DC Navigators","$60000","Bombardier Transportation USA"," Philmore B Anderson ","Revolving Door Profiles","Non Former Members of Congress"
"DC Navigators","$60000","Bombardier Transportation USA"," Bill Briggs ","Revolving Door Profiles","Non Former Members of Congress"
"DC Navigators","$60000","Bombardier Transportation USA"," Cesar V Conda ","Revolving Door Profiles","Non Former Members of Congress"
"DC Navigators","$60000","Bombardier Transportation USA"," James L Pitts ","Revolving Door Profiles","Non Former Members of Congress"
"Hyjek & Fix","$60000","Bombardier Services Corp"," Chris Goode ","No Revolving Door Profiles","Non Former Members of Congress"
"Hyjek & Fix","$60000","Bombardier Services Corp"," Steven M Hyjek ","Revolving Door Profiles","Non Former Members of Congress"
"Whitten & Diamond","$300000","Bombardier Inc"," Robert M Diamond ","Revolving Door Profiles","Non Former Members of Congress"
"Whitten & Diamond","$300000","Bombardier Inc"," Jamie L Jr Whitten ","No Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$0","Bombardier Transportation USA"," Denis J Dwyer ","Revolving Door Profiles","Non Former Members of Congress"
