"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Cator G Thomas","$80000","National Assn of Govt Guaranteed Lenders"," G Thomas Cator ","No Revolving Door Profiles","Non Former Members of Congress"
"National Assn of Govt Guaranteed Lenders","$240000",""," David H Bartram ","No Revolving Door Profiles","Non Former Members of Congress"
"National Assn of Govt Guaranteed Lenders","$240000",""," Karen P High ","No Revolving Door Profiles","Non Former Members of Congress"
"National Assn of Govt Guaranteed Lenders","$240000",""," Deryl Schuster ","No Revolving Door Profiles","Non Former Members of Congress"
"National Assn of Govt Guaranteed Lenders","$240000",""," Steve Staltz ","No Revolving Door Profiles","Non Former Members of Congress"
"National Assn of Govt Guaranteed Lenders","$240000",""," Mary Thorpe ","No Revolving Door Profiles","Non Former Members of Congress"
"National Assn of Govt Guaranteed Lenders","$240000",""," Anthony R Wilkinson ","No Revolving Door Profiles","Non Former Members of Congress"
"National Assn of Govt Guaranteed Lenders","$240000",""," Richard Wise ","No Revolving Door Profiles","Non Former Members of Congress"
"Powers Thomas G","$80000","National Assn of Govt Guaranteed Lenders"," Thomas G Powers ","Revolving Door Profiles","Non Former Members of Congress"
