"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"B&D Sagamore","$120000","Merrick Bank"," Maria L Berthoud ","Revolving Door Profiles","Non Former Members of Congress"
"B&D Sagamore","$120000","Merrick Bank"," Matthew Eggers ","No Revolving Door Profiles","Non Former Members of Congress"
"B&D Sagamore","$120000","Merrick Bank"," Andrew Ehrlich ","Revolving Door Profiles","Non Former Members of Congress"
"B&D Sagamore","$120000","Merrick Bank"," Robert J Kabel ","Revolving Door Profiles","Non Former Members of Congress"
"B&D Sagamore","$120000","Merrick Bank"," Frank S Swain ","Revolving Door Profiles","Non Former Members of Congress"
"Holland & Knight","$120000","Merrick Bank"," Kathryn Lehman ","Revolving Door Profiles","Non Former Members of Congress"
"Holland & Knight","$120000","Merrick Bank"," Andrew T Malleck ","No Revolving Door Profiles","Non Former Members of Congress"
"Holland & Knight","$120000","Merrick Bank"," Gerry Sikorski ","Revolving Door Profiles","Former Members of Congress"
"Holland & Knight","$120000","Merrick Bank"," Janet R Studley ","Revolving Door Profiles","Non Former Members of Congress"
"Holland & Knight","$120000","Merrick Bank"," Beth A Viola ","Revolving Door Profiles","Non Former Members of Congress"
