"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"CJR Group","$40000","National City Bank"," Josh Rubin ","Revolving Door Profiles","Non Former Members of Congress"
"National City Corp","$274000",""," Bruce A McCrodden ","No Revolving Door Profiles","Non Former Members of Congress"
"Rhoads Group","$60000","National City Corp"," Colin Chapman ","Revolving Door Profiles","Non Former Members of Congress"
"Rhoads Group","$60000","National City Corp"," Lucas Hitt ","Revolving Door Profiles","Non Former Members of Congress"
"Rhoads Group","$60000","National City Corp"," Leigh LaMora ","Revolving Door Profiles","Non Former Members of Congress"
"Rhoads Group","$60000","National City Corp"," Barry D Rhoads ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$80000","National City Bank"," Michael J Beer ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$80000","National City Bank"," David E Franasiak ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$80000","National City Bank"," George G Olsen ","No Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$80000","National City Bank"," Joel Oswald ","Revolving Door Profiles","Non Former Members of Congress"
"Wise & Assoc","$0","National City Bank"," Nicholas P Wise ","No Revolving Door Profiles","Non Former Members of Congress"
