"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"C2 Group","$280000","Macquarie Corporate Finance"," John Cline ","Revolving Door Profiles","Non Former Members of Congress"
"C2 Group","$280000","Macquarie Corporate Finance"," Thomas Crawford ","No Revolving Door Profiles","Non Former Members of Congress"
"C2 Group","$280000","Macquarie Corporate Finance"," Michael Hanson ","Revolving Door Profiles","Non Former Members of Congress"
"C2 Group","$280000","Macquarie Corporate Finance"," Shahira Knight ","Revolving Door Profiles","Non Former Members of Congress"
"C2 Group","$280000","Macquarie Corporate Finance"," Nelson Litterst ","Revolving Door Profiles","Non Former Members of Congress"
"C2 Group","$280000","Macquarie Corporate Finance"," Jefferies Murray ","Revolving Door Profiles","Non Former Members of Congress"
"Miller & Chevalier","$60000","MacQuarie Holdings USA"," John R Gilliland ","Revolving Door Profiles","Non Former Members of Congress"
"Miller & Chevalier","$60000","MacQuarie Holdings USA"," Greg Mastel ","Revolving Door Profiles","Non Former Members of Congress"
"Miller & Chevalier","$60000","MacQuarie Holdings USA"," Paul Welles Orr ","Revolving Door Profiles","Non Former Members of Congress"
"Miller & Chevalier","$60000","MacQuarie Holdings USA"," Zach Paulsen ","Revolving Door Profiles","Non Former Members of Congress"
"Miller & Chevalier","$60000","MacQuarie Holdings USA"," Hal Scott Shapiro ","Revolving Door Profiles","Non Former Members of Congress"
"Wexler & Walker Public Policy Assoc","$80000","MacQuarie Holdings USA"," John Duncan ","Revolving Door Profiles","Non Former Members of Congress"
"Wexler & Walker Public Policy Assoc","$80000","MacQuarie Holdings USA"," John W ""Jack"" Howard ","Revolving Door Profiles","Non Former Members of Congress"
