"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Cypress Advocacy","$20000","US Bank"," J Patrick Cave ","Revolving Door Profiles","Non Former Members of Congress"
"Cypress Advocacy","$20000","US Bank"," Ben Dupuy ","Revolving Door Profiles","Non Former Members of Congress"
"RR&G LLC","$80000","US Bancorp"," Geof Gradler ","Revolving Door Profiles","Non Former Members of Congress"
"RR&G LLC","$80000","US Bancorp"," Walter L Raheb ","Revolving Door Profiles","Non Former Members of Congress"
"RR&G LLC","$80000","US Bancorp"," Richard Y Roberts ","Revolving Door Profiles","Non Former Members of Congress"
"RR&G LLC","$80000","US Bancorp"," Stephen Whitaker ","Revolving Door Profiles","Non Former Members of Congress"
"RR&G LLC","$80000","US Bancorp"," Melissa Whittingham ","No Revolving Door Profiles","Non Former Members of Congress"
"Thelen Reid et al","$30000","US Bancorp"," Walter L Raheb ","Revolving Door Profiles","Non Former Members of Congress"
"US Bancorp","$40000",""," Deborah Burke ","No Revolving Door Profiles","Non Former Members of Congress"
"Whitaker Strategies","$66000","US Bancorp"," Stephen Whitaker ","Revolving Door Profiles","Non Former Members of Congress"
