"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Barclays","$1110000",""," Kathryn Fulton ","Revolving Door Profiles","Non Former Members of Congress"
"Barclays","$1110000",""," Joanne Medero ","Revolving Door Profiles","Non Former Members of Congress"
"Barclays","$1110000",""," Marlene Nicholson ","No Revolving Door Profiles","Non Former Members of Congress"
"Brown & Co","$80000","Converteam Inc"," Stacy Ballow ","Revolving Door Profiles","Non Former Members of Congress"
"Brown & Co","$80000","Converteam Inc"," Cynthia L Brown ","No Revolving Door Profiles","Non Former Members of Congress"
"Brown & Co","$80000","Converteam Inc"," Jane Q Calderwood ","Revolving Door Profiles","Non Former Members of Congress"
"Brown & Co","$80000","Converteam Inc"," Laura R Haas ","Revolving Door Profiles","Non Former Members of Congress"
"Brown & Co","$80000","Converteam Inc"," Lindsey Ledwin ","Revolving Door Profiles","Non Former Members of Congress"
"Groom Law Group","$0","Barclays"," William F Jr Sweetnam ","Revolving Door Profiles","Non Former Members of Congress"
"Mayer Brown et al","$100000","Barclays"," Robert E Glennon ","No Revolving Door Profiles","Non Former Members of Congress"
"Mayer Brown et al","$100000","Barclays"," Andrew M Shore ","Revolving Door Profiles","Non Former Members of Congress"
"Quinn Gillespie & Assoc","$60000","Barclays Global Investors"," Bruce H Andrews ","Revolving Door Profiles","Non Former Members of Congress"
"Quinn Gillespie & Assoc","$60000","Barclays Global Investors"," Jeffrey J Connaughton ","Revolving Door Profiles","Non Former Members of Congress"
"Quinn Gillespie & Assoc","$60000","Barclays Global Investors"," Amy Jensen Cunniffe ","Revolving Door Profiles","Non Former Members of Congress"
"Quinn Gillespie & Assoc","$60000","Barclays Global Investors"," Bonnie Hogue Duffy ","Revolving Door Profiles","Non Former Members of Congress"
"Quinn Gillespie & Assoc","$60000","Barclays Global Investors"," Allison H Giles ","Revolving Door Profiles","Non Former Members of Congress"
"Quinn Gillespie & Assoc","$60000","Barclays Global Investors"," Ed W Gillespie ","Revolving Door Profiles","Non Former Members of Congress"
"Quinn Gillespie & Assoc","$60000","Barclays Global Investors"," Mike Hacker ","Revolving Door Profiles","Non Former Members of Congress"
"Quinn Gillespie & Assoc","$60000","Barclays Global Investors"," Elizabeth Hogan ","Revolving Door Profiles","Non Former Members of Congress"
"Quinn Gillespie & Assoc","$60000","Barclays Global Investors"," David Hoppe ","Revolving Door Profiles","Non Former Members of Congress"
"Quinn Gillespie & Assoc","$60000","Barclays Global Investors"," Michael Hussey ","Revolving Door Profiles","Non Former Members of Congress"
"Quinn Gillespie & Assoc","$60000","Barclays Global Investors"," Kevin D Kayes ","Revolving Door Profiles","Non Former Members of Congress"
"Quinn Gillespie & Assoc","$60000","Barclays Global Investors"," Marc Lampkin ","Revolving Door Profiles","Non Former Members of Congress"
"Quinn Gillespie & Assoc","$60000","Barclays Global Investors"," Dave Lugar ","No Revolving Door Profiles","Non Former Members of Congress"
"Quinn Gillespie & Assoc","$60000","Barclays Global Investors"," Nicolas Maduros ","No Revolving Door Profiles","Non Former Members of Congress"
"Quinn Gillespie & Assoc","$60000","Barclays Global Investors"," Chris McCannell ","Revolving Door Profiles","Non Former Members of Congress"
"Quinn Gillespie & Assoc","$60000","Barclays Global Investors"," Harriet James Melvin ","Revolving Door Profiles","Non Former Members of Congress"
"Quinn Gillespie & Assoc","$60000","Barclays Global Investors"," Manuel Ortiz ","No Revolving Door Profiles","Non Former Members of Congress"
"Quinn Gillespie & Assoc","$60000","Barclays Global Investors"," Jack M Quinn ","Revolving Door Profiles","Non Former Members of Congress"
"Quinn Gillespie & Assoc","$60000","Barclays Global Investors"," Marti Thomas ","Revolving Door Profiles","Non Former Members of Congress"
"Rich Feuer Group","$120000","Barclays"," Mitchell L Feuer ","Revolving Door Profiles","Non Former Members of Congress"
"Rich Feuer Group","$120000","Barclays"," Peter D Rich ","Revolving Door Profiles","Non Former Members of Congress"
"Rich Feuer Group","$120000","Barclays"," Michael D Thompson ","Revolving Door Profiles","Non Former Members of Congress"
"Rich Feuer Group","$160000","Barclays Global Investors"," Mitchell L Feuer ","Revolving Door Profiles","Non Former Members of Congress"
"Rich Feuer Group","$160000","Barclays Global Investors"," Peter D Rich ","Revolving Door Profiles","Non Former Members of Congress"
"Rich Feuer Group","$160000","Barclays Global Investors"," Michael D Thompson ","Revolving Door Profiles","Non Former Members of Congress"
"Sullivan & Cromwell","$0","Barclays"," Samuel R III Woodall ","Revolving Door Profiles","Non Former Members of Congress"
