"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"CGCN Group","$20000","Consumer Bankers Assn"," Steve Clark ","No Revolving Door Profiles","Non Former Members of Congress"
"CGCN Group","$20000","Consumer Bankers Assn"," Sam K Geduldig ","Revolving Door Profiles","Non Former Members of Congress"
"CGCN Group","$20000","Consumer Bankers Assn"," Gary R Lytle ","No Revolving Door Profiles","Non Former Members of Congress"
"Consumer Bankers Assn","$2454000",""," Joe D Belew ","No Revolving Door Profiles","Non Former Members of Congress"
"Consumer Bankers Assn","$2454000",""," Joseph R Crouse ","No Revolving Door Profiles","Non Former Members of Congress"
"Consumer Bankers Assn","$2454000",""," Darlene Papier ","No Revolving Door Profiles","Non Former Members of Congress"
"Consumer Bankers Assn","$2454000",""," Darlene J Rosenkoetter ","No Revolving Door Profiles","Non Former Members of Congress"
"Consumer Bankers Assn","$2454000",""," Marcia Z Sullivan ","No Revolving Door Profiles","Non Former Members of Congress"
"Consumer Bankers Assn","$2454000",""," Steve Zeisel ","No Revolving Door Profiles","Non Former Members of Congress"
"Dean John E","$40000","Consumer Bankers Assn"," John E Dean ","Revolving Door Profiles","Non Former Members of Congress"
"Tassey & Assoc","$20000","Consumer Bankers Assn"," Jeffrey A Tassey ","Revolving Door Profiles","Non Former Members of Congress"
"Washington Partners","$80000","Consumer Bankers Assn"," Della B Cronin ","No Revolving Door Profiles","Non Former Members of Congress"
"Washington Partners","$80000","Consumer Bankers Assn"," John E Dean ","Revolving Door Profiles","Non Former Members of Congress"
"Washington Partners","$80000","Consumer Bankers Assn"," Harrison III Wadsworth ","Revolving Door Profiles","Non Former Members of Congress"
