"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Japan Bank for International Cooperation","$0",""," Tetsuya Harada ","No Revolving Door Profiles","Non Former Members of Congress"
"Japan Bank for International Cooperation","$0",""," Shunsuke Hosaka ","No Revolving Door Profiles","Non Former Members of Congress"
"Japan Bank for International Cooperation","$0",""," Toshiyuki Kosugi ","No Revolving Door Profiles","Non Former Members of Congress"
"Japan Bank for International Cooperation","$0",""," Teruaki Kotaka ","No Revolving Door Profiles","Non Former Members of Congress"
"Japan Bank for International Cooperation","$0",""," Ryosuke Nakata ","No Revolving Door Profiles","Non Former Members of Congress"
"Japan Bank for International Cooperation","$0",""," Yasushi Negishi ","No Revolving Door Profiles","Non Former Members of Congress"
"Japan Bank for International Cooperation","$0",""," AI Oku ","No Revolving Door Profiles","Non Former Members of Congress"
"Japan Bank for International Cooperation","$0",""," Wataru Sakata ","No Revolving Door Profiles","Non Former Members of Congress"
"Japan Bank for International Cooperation","$0",""," Hirotsugu Suzuki ","No Revolving Door Profiles","Non Former Members of Congress"
"Japan Bank for International Cooperation","$0",""," Akito Takahashi ","No Revolving Door Profiles","Non Former Members of Congress"
