"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Ernst & Young","$160000","Pacific Capital Bancorp"," Tara Bradshaw ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$160000","Pacific Capital Bancorp"," John L Doney ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$160000","Pacific Capital Bancorp"," Donna Steele Flynn ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$160000","Pacific Capital Bancorp"," LaBrenda Garrett-Nelson ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$160000","Pacific Capital Bancorp"," Gary Gasper ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$160000","Pacific Capital Bancorp"," Bruce A Gates ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$160000","Pacific Capital Bancorp"," Nick D Giordano ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$160000","Pacific Capital Bancorp"," Francis Grab ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$160000","Pacific Capital Bancorp"," Will Heyniger ","No Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$160000","Pacific Capital Bancorp"," Dave Koshgarian ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$160000","Pacific Capital Bancorp"," Richard J Meltzer ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$160000","Pacific Capital Bancorp"," Anne Phelps ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$160000","Pacific Capital Bancorp"," John D Porter ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$160000","Pacific Capital Bancorp"," Kurt Ritterpusch ","No Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$160000","Pacific Capital Bancorp"," Robert M Rozen ","Revolving Door Profiles","Non Former Members of Congress"
"Ernst & Young","$160000","Pacific Capital Bancorp"," Tim Urban ","Revolving Door Profiles","Non Former Members of Congress"
"Heidepriem & Mager","$20000","Pacific Capital Bancorp"," Nikki Heidepriem ","Revolving Door Profiles","Non Former Members of Congress"
"Heidepriem & Mager","$20000","Pacific Capital Bancorp"," Lisa Williams ","No Revolving Door Profiles","Non Former Members of Congress"
"McDermott Will & Emery","$280000","Pacific Capital Bank"," James E Datri ","Revolving Door Profiles","Non Former Members of Congress"
"McDermott Will & Emery","$280000","Pacific Capital Bank"," Paul D Hatch ","No Revolving Door Profiles","Non Former Members of Congress"
"McDermott Will & Emery","$280000","Pacific Capital Bank"," Calvin P Johnson ","Revolving Door Profiles","Non Former Members of Congress"
