"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Citizens Financial Group","$1060000",""," Donna Brady ","No Revolving Door Profiles","Non Former Members of Congress"
"Citizens Financial Group","$1060000",""," Kenneth W Robinson ","No Revolving Door Profiles","Non Former Members of Congress"
"DLA Piper","$620000","Citizens Financial Group"," Dick Armey ","Revolving Door Profiles","Former Members of Congress"
"DLA Piper","$620000","Citizens Financial Group"," Charles A III Baker ","No Revolving Door Profiles","Non Former Members of Congress"
"DLA Piper","$620000","Citizens Financial Group"," Matthew C Bernstein ","Revolving Door Profiles","Non Former Members of Congress"
"DLA Piper","$620000","Citizens Financial Group"," Andrew D Eskin ","Revolving Door Profiles","Non Former Members of Congress"
"DLA Piper","$620000","Citizens Financial Group"," John A Merrigan ","Revolving Door Profiles","Non Former Members of Congress"
"Lisker Joel S","$40000","ABN AMRO"," John Dudinsky ","No Revolving Door Profiles","Non Former Members of Congress"
"Lisker Joel S","$40000","ABN AMRO"," JoeL S Lisker ","No Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$40000","Chicago Deferred Exchange Corp"," David E Franasiak ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$40000","Chicago Deferred Exchange Corp"," Christopher Hatcher ","Revolving Door Profiles","Non Former Members of Congress"
