"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Akin Gump et al","$160000","Independent Community Bankers of America"," J David Carlin ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$160000","Independent Community Bankers of America"," Lauch Faircloth ","Revolving Door Profiles","Former Members of Congress"
"Akin Gump et al","$160000","Independent Community Bankers of America"," Vic Fazio ","Revolving Door Profiles","Former Members of Congress"
"Akin Gump et al","$160000","Independent Community Bankers of America"," Danna R Jackson ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$160000","Independent Community Bankers of America"," Joel Jankowsky ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$160000","Independent Community Bankers of America"," Jeffrey McMillen ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$160000","Independent Community Bankers of America"," Barney J Jr Skladany ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$160000","Independent Community Bankers of America"," Janine Smith ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$160000","Independent Community Bankers of America"," Mike J Solon ","Revolving Door Profiles","Non Former Members of Congress"
"Akin Gump et al","$160000","Independent Community Bankers of America"," James R Jr Tucker ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4210000",""," Ronald K Ence ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4210000",""," Camden Fine ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4210000",""," Anne M Grochala ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4210000",""," William Ike Jones ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4210000",""," Jason Kratovil ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4210000",""," Paul G Merski ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4210000",""," Renee L Rappaport ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4210000",""," Mark K Scanlan ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4210000",""," Aaron Stetter ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4210000",""," Karen M Thomas ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4210000",""," Stephen J Verdier ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4210000",""," Viveca Y Ware ","No Revolving Door Profiles","Non Former Members of Congress"
"Pace LLP","$40000","Independent Bankers Assn of Texas"," Vergil Cabasco ","Revolving Door Profiles","Non Former Members of Congress"
"Pace LLP","$40000","Independent Bankers Assn of Texas"," Gordon Kenny ","No Revolving Door Profiles","Non Former Members of Congress"
"Pace LLP","$40000","Independent Bankers Assn of Texas"," Bryan Vickers ","No Revolving Door Profiles","Non Former Members of Congress"
"Pace LLP","$40000","Independent Bankers Assn of Texas"," Amanda Marjorie Waters ","No Revolving Door Profiles","Non Former Members of Congress"
"Pace LLP","$40000","Independent Bankers Assn of Texas"," James W Wise ","No Revolving Door Profiles","Non Former Members of Congress"
"Sheffield Brothers","$220000","Independent Community Bankers of America"," Joi E Sheffield ","Revolving Door Profiles","Non Former Members of Congress"
"Timothy R Rupli & Assoc","$445000","Independent Community Bankers of America"," Timothy R Rupli ","Revolving Door Profiles","Non Former Members of Congress"
