"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Bear Stearns","$90000",""," Mary Lynn O'Neill ","No Revolving Door Profiles","Non Former Members of Congress"
"BKSH & Assoc","$120000","JPMorgan Chase & Co"," James C Jr Healey ","Revolving Door Profiles","Non Former Members of Congress"
"BKSH & Assoc","$120000","JPMorgan Chase & Co"," Rich Meade ","Revolving Door Profiles","Non Former Members of Congress"
"BKSH & Assoc","$120000","JPMorgan Chase & Co"," Pamela J Turner ","Revolving Door Profiles","Non Former Members of Congress"
"David L Horne LLC","$10000","JPMorgan Chase & Co"," David L Horne ","Revolving Door Profiles","Non Former Members of Congress"
"Equale & Assoc","$107500","JPMorgan Chase & Co"," Paul Andrew Equale ","Revolving Door Profiles","Non Former Members of Congress"
"Fennel Consulting","$50000","JPMorgan Chase & Co"," Melody H Fennel ","Revolving Door Profiles","Non Former Members of Congress"
"Hohlt Group","$130000","JPMorgan Chase & Co"," Richard F Hohlt ","Revolving Door Profiles","Non Former Members of Congress"
"JPMorgan Chase & Co","$3960000",""," Emily S Beizer ","Revolving Door Profiles","Non Former Members of Congress"
"JPMorgan Chase & Co","$3960000",""," Naomi G Camper ","Revolving Door Profiles","Non Former Members of Congress"
"JPMorgan Chase & Co","$3960000",""," Katherine Childress ","Revolving Door Profiles","Non Former Members of Congress"
"JPMorgan Chase & Co","$3960000",""," Nate Gatten ","Revolving Door Profiles","Non Former Members of Congress"
"JPMorgan Chase & Co","$3960000",""," Robert E Griner ","Revolving Door Profiles","Non Former Members of Congress"
"JPMorgan Chase & Co","$3960000",""," James A Keller ","Revolving Door Profiles","Non Former Members of Congress"
"JPMorgan Chase & Co","$3960000",""," Steven R Patterson ","Revolving Door Profiles","Non Former Members of Congress"
"JPMorgan Chase & Co","$3960000",""," Stephen S Ruhlen ","Revolving Door Profiles","Non Former Members of Congress"
"JPMorgan Chase & Co","$3960000",""," Peter L Scher ","Revolving Door Profiles","Non Former Members of Congress"
"Mayer Brown et al","$80000","JPMorgan Chase & Co"," Robert E Glennon ","No Revolving Door Profiles","Non Former Members of Congress"
"OB-C Group","$240000","JPMorgan Chase & Co"," Michael S Johnson ","Revolving Door Profiles","Non Former Members of Congress"
"OB-C Group","$240000","JPMorgan Chase & Co"," Thomas J Keating ","Revolving Door Profiles","Non Former Members of Congress"
"OB-C Group","$240000","JPMorgan Chase & Co"," Robert H Marsh ","Revolving Door Profiles","Non Former Members of Congress"
"OB-C Group","$240000","JPMorgan Chase & Co"," Charles J Mellody ","Revolving Door Profiles","Non Former Members of Congress"
"OB-C Group","$240000","JPMorgan Chase & Co"," Nathan J Miller ","Revolving Door Profiles","Non Former Members of Congress"
"OB-C Group","$240000","JPMorgan Chase & Co"," Patricia A Nelson ","Revolving Door Profiles","Non Former Members of Congress"
"OB-C Group","$240000","JPMorgan Chase & Co"," Lawrence F III O'brien ","Revolving Door Profiles","Non Former Members of Congress"
"OB-C Group","$240000","JPMorgan Chase & Co"," Robert G Stevenson ","Revolving Door Profiles","Non Former Members of Congress"
"Steptoe & Johnson","$60000","Bear Stearns"," John T Collins ","Revolving Door Profiles","Non Former Members of Congress"
"Thaxton Richard R","$75000","JP Morgan Electronic Financial Services"," Richard R Thaxton ","No Revolving Door Profiles","Non Former Members of Congress"
"Triangle Assoc","$88000","JPMorgan Chase & Co"," Philip Blalcok ","No Revolving Door Profiles","Non Former Members of Congress"
"Triangle Assoc","$88000","JPMorgan Chase & Co"," Philip Blalock ","No Revolving Door Profiles","Non Former Members of Congress"
"Triangle Assoc","$88000","JPMorgan Chase & Co"," Doug Richardson ","No Revolving Door Profiles","Non Former Members of Congress"
"Venable LLP","$0","Bear Stearns"," E Ray Beeman ","Revolving Door Profiles","Non Former Members of Congress"
"Venable LLP","$0","Bear Stearns"," William Donovan ","No Revolving Door Profiles","Non Former Members of Congress"
"Venable LLP","$0","Bear Stearns"," Samuel Olchyk ","Revolving Door Profiles","Non Former Members of Congress"
"Venable LLP","$0","Bear Stearns"," Thomas H Quinn ","Revolving Door Profiles","Non Former Members of Congress"
"Walter Group","$80500","JPMorgan Chase & Co"," Jeffrey M Walter ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$40000","JP Morgan Property Exchange"," Jenny B DiJames ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$40000","JP Morgan Property Exchange"," David E Franasiak ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$40000","JP Morgan Property Exchange"," Christopher Hatcher ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$40000","JP Morgan Property Exchange"," David A Starr ","Revolving Door Profiles","Non Former Members of Congress"
