"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Barnes & Thornburg","$135000","Bank of New York Mellon"," Richard R Boykin ","Revolving Door Profiles","Non Former Members of Congress"
"Barnes & Thornburg","$135000","Bank of New York Mellon"," Craig S Burkhardt ","No Revolving Door Profiles","Non Former Members of Congress"
"Barnes & Thornburg","$135000","Bank of New York Mellon"," Britta Gustafson ","No Revolving Door Profiles","Non Former Members of Congress"
"Capitol Tax Partners","$150000","Bank of New York Mellon"," Richard Grafmeyer ","Revolving Door Profiles","Non Former Members of Congress"
"Capitol Tax Partners","$150000","Bank of New York Mellon"," Lindsay D Hooper ","Revolving Door Profiles","Non Former Members of Congress"
"Capitol Tax Partners","$150000","Bank of New York Mellon"," Chris L Javens ","Revolving Door Profiles","Non Former Members of Congress"
"Capitol Tax Partners","$150000","Bank of New York Mellon"," William McKenney ","Revolving Door Profiles","Non Former Members of Congress"
"Capitol Tax Partners","$150000","Bank of New York Mellon"," Joseph Mikrut ","Revolving Door Profiles","Non Former Members of Congress"
"Capitol Tax Partners","$150000","Bank of New York Mellon"," Jonathan Talisman ","Revolving Door Profiles","Non Former Members of Congress"
"Capitol Tax Partners","$150000","Bank of New York Mellon"," Lawrence G Willcox ","Revolving Door Profiles","Non Former Members of Congress"
"Duberstein Group","$200000","Bank of New York Mellon"," Michael S Berman ","Revolving Door Profiles","Non Former Members of Congress"
"Duberstein Group","$200000","Bank of New York Mellon"," Steven M Champlin ","Revolving Door Profiles","Non Former Members of Congress"
"Duberstein Group","$200000","Bank of New York Mellon"," Kenneth M Duberstein ","Revolving Door Profiles","Non Former Members of Congress"
"Duberstein Group","$200000","Bank of New York Mellon"," Brian Griffin ","Revolving Door Profiles","Non Former Members of Congress"
"Duberstein Group","$200000","Bank of New York Mellon"," Daniel Meyer ","Revolving Door Profiles","Non Former Members of Congress"
"Duberstein Group","$200000","Bank of New York Mellon"," Marti Thomas ","Revolving Door Profiles","Non Former Members of Congress"
"Duberstein Group","$200000","Bank of New York Mellon"," Eric Ueland ","Revolving Door Profiles","Non Former Members of Congress"
"Porterfield Lowenthal & Fettig","$280000","Promontory Interfinancial Network"," Dawn Callaghan ","Revolving Door Profiles","Non Former Members of Congress"
"Porterfield Lowenthal & Fettig","$280000","Promontory Interfinancial Network"," Dwight Fettig ","Revolving Door Profiles","Non Former Members of Congress"
"Porterfield Lowenthal & Fettig","$280000","Promontory Interfinancial Network"," Kirsten T Johnson-Obey ","Revolving Door Profiles","Non Former Members of Congress"
"Porterfield Lowenthal & Fettig","$280000","Promontory Interfinancial Network"," Andrew Lowenthal ","Revolving Door Profiles","Non Former Members of Congress"
"Porterfield Lowenthal & Fettig","$280000","Promontory Interfinancial Network"," Lendell W Porterfield ","Revolving Door Profiles","Non Former Members of Congress"
"Porterfield Lowenthal & Fettig","$280000","Promontory Interfinancial Network"," Brendon Weiss ","Revolving Door Profiles","Non Former Members of Congress"
"Raben Group","$360000","Promontory Interfinancial Network"," Mark Glaze ","Revolving Door Profiles","Non Former Members of Congress"
"Raben Group","$360000","Promontory Interfinancial Network"," Robert Raben ","Revolving Door Profiles","Non Former Members of Congress"
"Raben Group","$360000","Promontory Interfinancial Network"," Courtney Snowden ","Revolving Door Profiles","Non Former Members of Congress"
"Raben Group","$360000","Promontory Interfinancial Network"," Meaghan Hohl Taborda ","Revolving Door Profiles","Non Former Members of Congress"
"Smith-Free Group","$60000","Bank of New York Mellon"," James E Smith ","Revolving Door Profiles","Non Former Members of Congress"
