"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Community Bankers Assn of Illinois","$200000",""," David Schroeder ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4550000",""," Chris Cole ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4550000",""," Brian Cooney ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4550000",""," Ronald K Ence ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4550000",""," Elizabeth Eurgubian ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4550000",""," Camden Fine ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4550000",""," Anne M Grochala ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4550000",""," James A Keller ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4550000",""," Jason Kratovil ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4550000",""," David Lynch ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4550000",""," Paul G Merski ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4550000",""," Renee L Rappaport ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4550000",""," Mark K Scanlan ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4550000",""," Aaron Stetter ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4550000",""," Karen M Thomas ","No Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4550000",""," Stephen J Verdier ","Revolving Door Profiles","Non Former Members of Congress"
"Independent Community Bankers of America","$4550000",""," Viveca Y Ware ","No Revolving Door Profiles","Non Former Members of Congress"
"Pace LLP","$40000","Independent Bankers Assn of Texas"," Gordon Kenny ","No Revolving Door Profiles","Non Former Members of Congress"
"Pace LLP","$40000","Independent Bankers Assn of Texas"," Bryan Vickers ","No Revolving Door Profiles","Non Former Members of Congress"
"Pace LLP","$40000","Independent Bankers Assn of Texas"," Lauren Wilson ","No Revolving Door Profiles","Non Former Members of Congress"
"Pace LLP","$40000","Independent Bankers Assn of Texas"," James W Wise ","No Revolving Door Profiles","Non Former Members of Congress"
"Timothy R Rupli & Assoc","$555000","Independent Community Bankers of America"," Timothy R Rupli ","Revolving Door Profiles","Non Former Members of Congress"
