"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Mayer Brown LLP","$300000","Royal Bank of Canada"," David M McIntosh ","Revolving Door Profiles","Former Members of Congress"
"Mayer Brown LLP","$300000","Royal Bank of Canada"," John R Mirvish ","No Revolving Door Profiles","Non Former Members of Congress"
"Mayer Brown LLP","$300000","Royal Bank of Canada"," Carolyn P Osolinik ","Revolving Door Profiles","Non Former Members of Congress"
"Mayer Brown LLP","$300000","Royal Bank of Canada"," David R Sahr ","No Revolving Door Profiles","Non Former Members of Congress"
"RBC Bank","$44000",""," Lorraine Waller ","Revolving Door Profiles","Non Former Members of Congress"
"RBC Capital Markets","$90000",""," Shawn Maher ","Revolving Door Profiles","Non Former Members of Congress"
"RBC Capital Markets","$90000",""," LaBrena Martin ","No Revolving Door Profiles","Non Former Members of Congress"
"RBC Capital Markets","$90000",""," Lorraine Waller ","Revolving Door Profiles","Non Former Members of Congress"
"Royal Bank of Canada","$707000",""," Shawn Maher ","Revolving Door Profiles","Non Former Members of Congress"
"Royal Bank of Canada","$707000",""," LaBrena Martin ","No Revolving Door Profiles","Non Former Members of Congress"
"Royal Bank of Canada","$707000",""," Lorraine Waller ","Revolving Door Profiles","Non Former Members of Congress"
