"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Ernst & Young","$80000","HSBC Holdings"," Barbara M Angus ","Revolving Door Profiles","Non Former Members of Congress"
"HSBC Holdings","$2176000",""," Monique Frazier ","Revolving Door Profiles","Non Former Members of Congress"
"HSBC Holdings","$2176000",""," Thomas J Rosenkoetter ","Revolving Door Profiles","Non Former Members of Congress"
"HSBC Holdings","$2176000",""," Janet G St Amand ","No Revolving Door Profiles","Non Former Members of Congress"
"HSBC North America","$580000",""," Monique Frazier ","Revolving Door Profiles","Non Former Members of Congress"
"HSBC North America","$580000",""," Thomas J Rosenkoetter ","Revolving Door Profiles","Non Former Members of Congress"
"HSBC North America","$580000",""," Janet G St Amand ","No Revolving Door Profiles","Non Former Members of Congress"
"Smith-Free Group","$120000","HSBC Holdings"," Jon S Deuser ","Revolving Door Profiles","Non Former Members of Congress"
"Smith-Free Group","$120000","HSBC Holdings"," James E Smith ","Revolving Door Profiles","Non Former Members of Congress"
"Washington Tax Group","$120000","HSBC Holdings"," Jan Fowler ","Revolving Door Profiles","Non Former Members of Congress"
"Washington Tax Group","$120000","HSBC Holdings"," Gregory Nickerson ","Revolving Door Profiles","Non Former Members of Congress"
