"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Covington & Burling","$120000","Wells Fargo"," Edward L Yingling ","No Revolving Door Profiles","Non Former Members of Congress"
"JDM Public Strategies","$180000","Wells Fargo"," John D Mcmickle ","Revolving Door Profiles","Non Former Members of Congress"
"Podesta Group","$680000","Wells Fargo"," Cristina Antelo ","Revolving Door Profiles","Non Former Members of Congress"
"Podesta Group","$680000","Wells Fargo"," Daniele Baierlein ","No Revolving Door Profiles","Non Former Members of Congress"
"Podesta Group","$680000","Wells Fargo"," Paul Brathwaite ","Revolving Door Profiles","Non Former Members of Congress"
"Podesta Group","$680000","Wells Fargo"," Randall Gerard ","Revolving Door Profiles","Non Former Members of Congress"
"Podesta Group","$680000","Wells Fargo"," Jaime R Harrison ","Revolving Door Profiles","Non Former Members of Congress"
"Podesta Group","$680000","Wells Fargo"," Kathryn Hollister ","No Revolving Door Profiles","Non Former Members of Congress"
"Podesta Group","$680000","Wells Fargo"," Izzy Klein ","Revolving Door Profiles","Non Former Members of Congress"
"Podesta Group","$680000","Wells Fargo"," Andrew Lewin ","Revolving Door Profiles","Non Former Members of Congress"
"Podesta Group","$680000","Wells Fargo"," Lauren Maddox ","Revolving Door Profiles","Non Former Members of Congress"
"Podesta Group","$680000","Wells Fargo"," David Marin ","Revolving Door Profiles","Non Former Members of Congress"
"Podesta Group","$680000","Wells Fargo"," Gwen E Mellor ","No Revolving Door Profiles","Non Former Members of Congress"
"Podesta Group","$680000","Wells Fargo"," David Morgenstern ","Revolving Door Profiles","Non Former Members of Congress"
"Podesta Group","$680000","Wells Fargo"," Elizabeth Morra ","Revolving Door Profiles","Non Former Members of Congress"
"Podesta Group","$680000","Wells Fargo"," Tony Podesta ","Revolving Door Profiles","Non Former Members of Congress"
"Podesta Group","$680000","Wells Fargo"," Michael Quaranta ","Revolving Door Profiles","Non Former Members of Congress"
"Podesta Group","$680000","Wells Fargo"," Oscar T Ramirez ","Revolving Door Profiles","Non Former Members of Congress"
"Podesta Group","$680000","Wells Fargo"," Nicole Young ","Revolving Door Profiles","Non Former Members of Congress"
"Wells Fargo","$6790000",""," Sanders Adu ","Revolving Door Profiles","Non Former Members of Congress"
"Wells Fargo","$6790000",""," Daniel M Archer ","Revolving Door Profiles","Non Former Members of Congress"
"Wells Fargo","$6790000",""," Anita Eoloff ","No Revolving Door Profiles","Non Former Members of Congress"
"Wells Fargo","$6790000",""," Christopher Rosello ","Revolving Door Profiles","Non Former Members of Congress"
"Wells Fargo","$6790000",""," Margaret Simmons ","Revolving Door Profiles","Non Former Members of Congress"
"Wells Fargo","$6790000",""," Julie Slocum ","Revolving Door Profiles","Non Former Members of Congress"
"Wells Fargo","$6790000",""," Linda Vickers ","No Revolving Door Profiles","Non Former Members of Congress"
