"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"DLA Piper","$420000","Association of Banks in Lebanon"," Matthew C Bernstein ","Revolving Door Profiles","Non Former Members of Congress"
"DLA Piper","$420000","Association of Banks in Lebanon"," Michael N Castle ","Revolving Door Profiles","Former Members of Congress"
"DLA Piper","$420000","Association of Banks in Lebanon"," Lisa L Jones ","No Revolving Door Profiles","Non Former Members of Congress"
"DLA Piper","$420000","Association of Banks in Lebanon"," John A Merrigan ","Revolving Door Profiles","Non Former Members of Congress"
"DLA Piper","$420000","Association of Banks in Lebanon"," James A Pickup ","Revolving Door Profiles","Non Former Members of Congress"
"DLA Piper","$420000","Association of Banks in Lebanon"," Ignacio E Sanchez ","No Revolving Door Profiles","Non Former Members of Congress"
"DLA Piper","$420000","Association of Banks in Lebanon"," Bruce E Jr Thompson ","Revolving Door Profiles","Non Former Members of Congress"
"Levick Strategic Communications","$600000","Association of Banks in Lebanon"," Richard Levick ","No Revolving Door Profiles","Non Former Members of Congress"
"Levick Strategic Communications","$600000","Association of Banks in Lebanon"," Dan Rene ","No Revolving Door Profiles","Non Former Members of Congress"
"Levick Strategic Communications","$600000","Association of Banks in Lebanon"," Michael W Robinson ","Revolving Door Profiles","Non Former Members of Congress"
"Levick Strategic Communications","$600000","Association of Banks in Lebanon"," Kathleen M Wailes ","No Revolving Door Profiles","Non Former Members of Congress"
