"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Clearing House Payments Co","$1760000",""," Jill Hershey ","Revolving Door Profiles","Non Former Members of Congress"
"Clearing House Payments Co","$1760000",""," Kristin Harrison Richardson ","Revolving Door Profiles","Non Former Members of Congress"
"Clearing House Payments Co","$1760000",""," Paul Saltzman ","No Revolving Door Profiles","Non Former Members of Congress"
"Clearing House Payments Co","$1760000",""," John Van Etten ","Revolving Door Profiles","Non Former Members of Congress"
"Clearing House Payments Co","$1760000",""," John Wagner ","No Revolving Door Profiles","Non Former Members of Congress"
"Sullivan & Cromwell","$250000","Clearing House Payments Co"," Samuel R III Woodall ","Revolving Door Profiles","Non Former Members of Congress"
"Wexler & Walker Public Policy Assoc","$30000","The Clearing House"," Thomas Carpenter ","Revolving Door Profiles","Non Former Members of Congress"
"Wexler & Walker Public Policy Assoc","$30000","The Clearing House"," George Rogers ","Revolving Door Profiles","Non Former Members of Congress"
"Wexler & Walker Public Policy Assoc","$30000","The Clearing House"," Dale W Snape ","No Revolving Door Profiles","Non Former Members of Congress"
"Wexler & Walker Public Policy Assoc","$30000","The Clearing House"," Robert S Walker ","Revolving Door Profiles","Former Members of Congress"
