"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Constantine Cannon","$240000","New York Private Bank & Trust"," W Stephen Cannon ","Revolving Door Profiles","Non Former Members of Congress"
"Elmendorf Ryan","$120000","New York Private Bank & Trust"," Stacey Alexander ","Revolving Door Profiles","Non Former Members of Congress"
"Elmendorf Ryan","$120000","New York Private Bank & Trust"," Pat Bousliman ","Revolving Door Profiles","Non Former Members of Congress"
"Elmendorf Ryan","$120000","New York Private Bank & Trust"," Robert Cogorno ","Revolving Door Profiles","Non Former Members of Congress"
"Elmendorf Ryan","$120000","New York Private Bank & Trust"," Steven Elmendorf ","Revolving Door Profiles","Non Former Members of Congress"
"Elmendorf Ryan","$120000","New York Private Bank & Trust"," Kristina Kennedy ","Revolving Door Profiles","Non Former Members of Congress"
"Elmendorf Ryan","$120000","New York Private Bank & Trust"," Barry LaSala ","Revolving Door Profiles","Non Former Members of Congress"
"Elmendorf Ryan","$120000","New York Private Bank & Trust"," James 'Jimmy' Ryan ","Revolving Door Profiles","Non Former Members of Congress"
"Elmendorf Ryan","$120000","New York Private Bank & Trust"," Shanti Ochs Stanton ","Revolving Door Profiles","Non Former Members of Congress"
"Fierce Isakowitz & Blalock","$120000","New York Private Bank & Trust"," Kirk Blalock ","Revolving Door Profiles","Non Former Members of Congress"
"Fierce Isakowitz & Blalock","$120000","New York Private Bank & Trust"," Kirsten Chadwick ","Revolving Door Profiles","Non Former Members of Congress"
"Fierce Isakowitz & Blalock","$120000","New York Private Bank & Trust"," Mike Chappell ","Revolving Door Profiles","Non Former Members of Congress"
"Fierce Isakowitz & Blalock","$120000","New York Private Bank & Trust"," Kate Hull ","Revolving Door Profiles","Non Former Members of Congress"
"Fierce Isakowitz & Blalock","$120000","New York Private Bank & Trust"," Mark W Isakowitz ","Revolving Door Profiles","Non Former Members of Congress"
"Fierce Isakowitz & Blalock","$120000","New York Private Bank & Trust"," Aleix Jarvis ","Revolving Door Profiles","Non Former Members of Congress"
"Fierce Isakowitz & Blalock","$120000","New York Private Bank & Trust"," Danielle Maurer ","Revolving Door Profiles","Non Former Members of Congress"
"Fierce Isakowitz & Blalock","$120000","New York Private Bank & Trust"," Billy Piper ","Revolving Door Profiles","Non Former Members of Congress"
