"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"District Economics Group","$0","Sallie Mae"," Michael Udell ","Revolving Door Profiles","Non Former Members of Congress"
"Mercury","$70000","Sallie Mae"," Ed Kutler ","Revolving Door Profiles","Non Former Members of Congress"
"Mercury","$70000","Sallie Mae"," Max Sandlin ","Revolving Door Profiles","Former Members of Congress"
"Mercury","$70000","Sallie Mae"," Deirdre Stach ","Revolving Door Profiles","Non Former Members of Congress"
"Mercury","$70000","Sallie Mae"," Vin Weber ","Revolving Door Profiles","Former Members of Congress"
"Navient Solutions","$280000","Sallie Mae Bank"," Sarah Ducich ","No Revolving Door Profiles","Non Former Members of Congress"
"Navient Solutions","$280000","Sallie Mae Bank"," Carmen Guzman Lowrey ","Revolving Door Profiles","Non Former Members of Congress"
"Navient Solutions","$280000","Sallie Mae Bank"," Tim Morrison ","No Revolving Door Profiles","Non Former Members of Congress"
"Nixon Peabody LLP","$80000","Sallie Mae"," Tom Reynolds ","Revolving Door Profiles","Former Members of Congress"
"Nixon Peabody LLP","$80000","Sallie Mae"," Sally Vastola ","Revolving Door Profiles","Non Former Members of Congress"
"Podesta Group","$120000","Sallie Mae"," Paul Brathwaite ","Revolving Door Profiles","Non Former Members of Congress"
"Podesta Group","$120000","Sallie Mae"," Izzy Klein ","Revolving Door Profiles","Non Former Members of Congress"
"Podesta Group","$120000","Sallie Mae"," Lauren Maddox ","Revolving Door Profiles","Non Former Members of Congress"
"Podesta Group","$120000","Sallie Mae"," Tony Podesta ","Revolving Door Profiles","Non Former Members of Congress"
"Podesta Group","$120000","Sallie Mae"," Oscar T Ramirez ","Revolving Door Profiles","Non Former Members of Congress"
"Sallie Mae","$1390000",""," Scott Buchanan ","No Revolving Door Profiles","Non Former Members of Congress"
"Sallie Mae","$1390000",""," Sarah Ducich ","No Revolving Door Profiles","Non Former Members of Congress"
"Sallie Mae","$1390000",""," Carmen Guzman Lowrey ","Revolving Door Profiles","Non Former Members of Congress"
"Sallie Mae","$1390000",""," Tim Morrison ","No Revolving Door Profiles","Non Former Members of Congress"
"Van Scoyoc Assoc","$10000","Sallie Mae"," Jeffery S Trinca ","Revolving Door Profiles","Non Former Members of Congress"
