"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Brownstein Hyatt et al","$200000","Promontory Interfinancial Network"," Michael B Levy ","Revolving Door Profiles","Non Former Members of Congress"
"Covington & Burling","$40000","Promontory Interfinancial Network"," Edward L Yingling ","No Revolving Door Profiles","Non Former Members of Congress"
"Duberstein Group","$400000","Promontory Interfinancial Network"," Kenneth M Duberstein ","Revolving Door Profiles","Non Former Members of Congress"
"Duberstein Group","$400000","Promontory Interfinancial Network"," David Schiappa ","Revolving Door Profiles","Non Former Members of Congress"
"Porterfield Lowenthal et al","$280000","Promontory Interfinancial Network"," Dwight Fettig ","Revolving Door Profiles","Non Former Members of Congress"
"Porterfield Lowenthal et al","$280000","Promontory Interfinancial Network"," Jillien Williams Flores ","Revolving Door Profiles","Non Former Members of Congress"
"Porterfield Lowenthal et al","$280000","Promontory Interfinancial Network"," Andrew Lowenthal ","Revolving Door Profiles","Non Former Members of Congress"
"Porterfield Lowenthal et al","$280000","Promontory Interfinancial Network"," Jason Pitcock ","Revolving Door Profiles","Non Former Members of Congress"
"Porterfield Lowenthal et al","$280000","Promontory Interfinancial Network"," Lendell W Porterfield ","Revolving Door Profiles","Non Former Members of Congress"
"Porterfield Lowenthal et al","$280000","Promontory Interfinancial Network"," Dawn Sears ","Revolving Door Profiles","Non Former Members of Congress"
"Porterfield Lowenthal et al","$280000","Promontory Interfinancial Network"," Ben Turner ","Revolving Door Profiles","Non Former Members of Congress"
"Raben Group","$240000","Promontory Interfinancial Network"," Robert Raben ","Revolving Door Profiles","Non Former Members of Congress"
"Raben Group","$240000","Promontory Interfinancial Network"," Christina Weaver ","Revolving Door Profiles","Non Former Members of Congress"
"Zavarello Bill","$60000","Promontory Interfinancial Network"," William Zavarello ","Revolving Door Profiles","Non Former Members of Congress"
