"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Capitol Counsel","$80000","Regions Financial"," De'ana Dow ","Revolving Door Profiles","Non Former Members of Congress"
"Capitol Counsel","$80000","Regions Financial"," Jeffrey M Walter ","Revolving Door Profiles","Non Former Members of Congress"
"Gray Geoffrey P","$80000","Regions Financial"," Geoffrey P Gray ","Revolving Door Profiles","Non Former Members of Congress"
"Maynard Cooper & Gale","$50000","Regions Financial"," Stephen W Still ","No Revolving Door Profiles","Non Former Members of Congress"
"O'Rourke & Nappi","$90000","Regions Financial"," Chris Matthiesen ","Revolving Door Profiles","Non Former Members of Congress"
"O'Rourke & Nappi","$90000","Regions Financial"," Douglas R Nappi ","Revolving Door Profiles","Non Former Members of Congress"
"Porterfield Lowenthal et al","$80000","Regions Financial"," Dwight Fettig ","Revolving Door Profiles","Non Former Members of Congress"
"Porterfield Lowenthal et al","$80000","Regions Financial"," Jillien Williams Flores ","Revolving Door Profiles","Non Former Members of Congress"
"Porterfield Lowenthal et al","$80000","Regions Financial"," Andrew Lowenthal ","Revolving Door Profiles","Non Former Members of Congress"
"Porterfield Lowenthal et al","$80000","Regions Financial"," Jason Pitcock ","Revolving Door Profiles","Non Former Members of Congress"
"Porterfield Lowenthal et al","$80000","Regions Financial"," Lendell W Porterfield ","Revolving Door Profiles","Non Former Members of Congress"
"Porterfield Lowenthal et al","$80000","Regions Financial"," Dawn Sears ","Revolving Door Profiles","Non Former Members of Congress"
"Porterfield Lowenthal et al","$80000","Regions Financial"," Ben Turner ","Revolving Door Profiles","Non Former Members of Congress"
"Regions Financial","$963014",""," Chris Scribner ","No Revolving Door Profiles","Non Former Members of Congress"
"Regions Financial","$963014",""," Brian Keith Smith ","No Revolving Door Profiles","Non Former Members of Congress"
"Smith-Free Group","$80000","Regions Financial"," Andrew H Barbour ","Revolving Door Profiles","Non Former Members of Congress"
"Smith-Free Group","$80000","Regions Financial"," Jon S Deuser ","Revolving Door Profiles","Non Former Members of Congress"
"Smith-Free Group","$80000","Regions Financial"," W Timothy Locke ","Revolving Door Profiles","Non Former Members of Congress"
"Smith-Free Group","$80000","Regions Financial"," Summer Mersinger ","Revolving Door Profiles","Non Former Members of Congress"
