"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"CGCN Group","$30000","Bank Policy Institute"," Michael J Catanzaro ","Revolving Door Profiles","Non Former Members of Congress"
"CGCN Group","$30000","Bank Policy Institute"," Steve Clark ","No Revolving Door Profiles","Non Former Members of Congress"
"CGCN Group","$30000","Bank Policy Institute"," Jay N III Cranford ","Revolving Door Profiles","Non Former Members of Congress"
"CGCN Group","$30000","Bank Policy Institute"," Sam K Geduldig ","Revolving Door Profiles","Non Former Members of Congress"
"CGCN Group","$30000","Bank Policy Institute"," Gary R Lytle ","No Revolving Door Profiles","Non Former Members of Congress"
"CGCN Group","$30000","Bank Policy Institute"," Michael Nielsen ","Revolving Door Profiles","Non Former Members of Congress"
"CGCN Group","$30000","Bank Policy Institute"," Deborah Pryce ","Revolving Door Profiles","Former Members of Congress"
"CGCN Group","$30000","Bank Policy Institute"," Douglas Schwartz ","Revolving Door Profiles","Non Former Members of Congress"
"CGCN Group","$30000","Bank Policy Institute"," John Stipicevic ","Revolving Door Profiles","Non Former Members of Congress"
"CGCN Group","$30000","Bank Policy Institute"," Amy Wren ","Revolving Door Profiles","Non Former Members of Congress"
