"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Brownstein Hyatt et al","$340000","Electronic Payments Coalition"," Robert Flock ","Revolving Door Profiles","Non Former Members of Congress"
"Brownstein Hyatt et al","$340000","Electronic Payments Coalition"," Brian Mckeon ","Revolving Door Profiles","Non Former Members of Congress"
"Brownstein Hyatt et al","$340000","Electronic Payments Coalition"," William E Moschella ","Revolving Door Profiles","Non Former Members of Congress"
"Brownstein Hyatt et al","$340000","Electronic Payments Coalition"," Zachary Pfister ","Revolving Door Profiles","Non Former Members of Congress"
"Brownstein Hyatt et al","$340000","Electronic Payments Coalition"," Carmencita Whonder ","Revolving Door Profiles","Non Former Members of Congress"
"Brownstein Hyatt et al","$340000","Electronic Payments Coalition"," Brian Wild ","Revolving Door Profiles","Non Former Members of Congress"
"CGCN Group","$330000","Electronic Payments Coalition"," Michael J Catanzaro ","Revolving Door Profiles","Non Former Members of Congress"
"CGCN Group","$330000","Electronic Payments Coalition"," Steve Clark ","No Revolving Door Profiles","Non Former Members of Congress"
"CGCN Group","$330000","Electronic Payments Coalition"," Jay N III Cranford ","Revolving Door Profiles","Non Former Members of Congress"
"CGCN Group","$330000","Electronic Payments Coalition"," Sam K Geduldig ","Revolving Door Profiles","Non Former Members of Congress"
"CGCN Group","$330000","Electronic Payments Coalition"," Gary R Lytle ","No Revolving Door Profiles","Non Former Members of Congress"
"CGCN Group","$330000","Electronic Payments Coalition"," Michael Nielsen ","Revolving Door Profiles","Non Former Members of Congress"
"CGCN Group","$330000","Electronic Payments Coalition"," Deborah Pryce ","Revolving Door Profiles","Former Members of Congress"
"CGCN Group","$330000","Electronic Payments Coalition"," Douglas Schwartz ","Revolving Door Profiles","Non Former Members of Congress"
"CGCN Group","$330000","Electronic Payments Coalition"," John Stipicevic ","Revolving Door Profiles","Non Former Members of Congress"
"CGCN Group","$330000","Electronic Payments Coalition"," Amy Wren ","Revolving Door Profiles","Non Former Members of Congress"
"Gray Geoffrey P","$120000","Electronic Payments Coalition"," Geoffrey P Gray ","Revolving Door Profiles","Non Former Members of Congress"
"Lindbergh Counsel","$250000","Electronic Payments Coalition"," Molly A Wilkinson ","Revolving Door Profiles","Non Former Members of Congress"
"Polaris Government Relations","$40000","Electronic Payments Coalition"," Bryan Cunningham ","Revolving Door Profiles","Non Former Members of Congress"
"Polaris Government Relations","$40000","Electronic Payments Coalition"," Daniel Gans ","Revolving Door Profiles","Non Former Members of Congress"
"Polaris Government Relations","$40000","Electronic Payments Coalition"," Jon Gans ","Revolving Door Profiles","Non Former Members of Congress"
"Tassey & Assoc","$400000","Electronic Payments Coalition"," Beverly Bell ","Revolving Door Profiles","Non Former Members of Congress"
"Tassey & Assoc","$400000","Electronic Payments Coalition"," Jeffrey A Tassey ","Revolving Door Profiles","Non Former Members of Congress"
"Velasquez Group","$120000","Electronic Payments Coalition"," Jay Velasquez ","Revolving Door Profiles","Non Former Members of Congress"
