"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Capitol Counsel","$50000","Amalgamated Bank"," De'ana Dow ","Revolving Door Profiles","Non Former Members of Congress"
"Capitol Counsel","$50000","Amalgamated Bank"," Shannon Finley ","Revolving Door Profiles","Non Former Members of Congress"
"Capitol Counsel","$50000","Amalgamated Bank"," Jenn Fogel-Bublick ","Revolving Door Profiles","Non Former Members of Congress"
"Capitol Counsel","$50000","Amalgamated Bank"," Drew Goesl ","Revolving Door Profiles","Non Former Members of Congress"
"Capitol Counsel","$50000","Amalgamated Bank"," Ann Jablon ","Revolving Door Profiles","Non Former Members of Congress"
"Capitol Counsel","$50000","Amalgamated Bank"," David W Jones ","Revolving Door Profiles","Non Former Members of Congress"
"Capitol Counsel","$50000","Amalgamated Bank"," John D Raffaelli ","Revolving Door Profiles","Non Former Members of Congress"
"Capitol Counsel","$50000","Amalgamated Bank"," Warren Tryon ","Revolving Door Profiles","Non Former Members of Congress"
"Nueva Vista Group","$340000","Service Employees International Union"," Abby Lynne Bownas ","Revolving Door Profiles","Non Former Members of Congress"
"Nueva Vista Group","$340000","Service Employees International Union"," Irene Bueno ","Revolving Door Profiles","Non Former Members of Congress"
"Nueva Vista Group","$340000","Service Employees International Union"," Bonnie Hogue Duffy ","Revolving Door Profiles","Non Former Members of Congress"
"Nueva Vista Group","$340000","Service Employees International Union"," Andrea LaRue ","Revolving Door Profiles","Non Former Members of Congress"
"Nueva Vista Group","$340000","Service Employees International Union"," Jane Loewenson ","Revolving Door Profiles","Non Former Members of Congress"
"Nueva Vista Group","$340000","Service Employees International Union"," Charles M Loveless ","No Revolving Door Profiles","Non Former Members of Congress"
"Service Employees International Union","$410722",""," John Foti ","No Revolving Door Profiles","Non Former Members of Congress"
"Service Employees International Union","$410722",""," John Scott III Gray ","Revolving Door Profiles","Non Former Members of Congress"
"Service Employees International Union","$410722",""," Ilene Stein ","No Revolving Door Profiles","Non Former Members of Congress"
