"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Arnold & Porter Kaye Scholer","$150000","First Republic Bank"," Paul A Jr Howard ","Revolving Door Profiles","Non Former Members of Congress"
"Arnold & Porter Kaye Scholer","$150000","First Republic Bank"," L Charles Landgraf ","No Revolving Door Profiles","Non Former Members of Congress"
"Hohlt Group","$100000","First Republic Bank"," Richard F Hohlt ","Revolving Door Profiles","Non Former Members of Congress"
"OB-C Group","$120000","First Republic Bank"," David Heil ","Revolving Door Profiles","Non Former Members of Congress"
"OB-C Group","$120000","First Republic Bank"," Michael S Johnson ","Revolving Door Profiles","Non Former Members of Congress"
"OB-C Group","$120000","First Republic Bank"," Thomas J Keating ","Revolving Door Profiles","Non Former Members of Congress"
"OB-C Group","$120000","First Republic Bank"," Daniel Kidera ","Revolving Door Profiles","Non Former Members of Congress"
"OB-C Group","$120000","First Republic Bank"," Robert H Marsh ","Revolving Door Profiles","Non Former Members of Congress"
"OB-C Group","$120000","First Republic Bank"," Patricia A Nelson ","Revolving Door Profiles","Non Former Members of Congress"
"OB-C Group","$120000","First Republic Bank"," Patrica Nugent ","No Revolving Door Profiles","Non Former Members of Congress"
"OB-C Group","$120000","First Republic Bank"," Lawrence F III O'brien ","Revolving Door Profiles","Non Former Members of Congress"
"OB-C Group","$120000","First Republic Bank"," Robert G Stevenson ","Revolving Door Profiles","Non Former Members of Congress"
