"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"1607 Strategies","$20000","Cross River Bank"," Travis Johnson ","Revolving Door Profiles","Non Former Members of Congress"
"Cross River Bank","$210000",""," Phil Goldfeder ","No Revolving Door Profiles","Non Former Members of Congress"
"Cross River Bank","$210000",""," Aaron Iovine ","No Revolving Door Profiles","Non Former Members of Congress"
"Cross River Bank","$210000",""," Eugene Shvartsman ","No Revolving Door Profiles","Non Former Members of Congress"
"Eris Group","$10000","Cross River Bank"," Doyle Bartlett ","Revolving Door Profiles","Non Former Members of Congress"
"Eris Group","$10000","Cross River Bank"," Travis Johnson ","Revolving Door Profiles","Non Former Members of Congress"
"Eris Group","$10000","Cross River Bank"," Chris McCannell ","Revolving Door Profiles","Non Former Members of Congress"
"GrayRobinson PA","$90000","Cross River Bank"," Doyle Bartlett ","Revolving Door Profiles","Non Former Members of Congress"
"GrayRobinson PA","$90000","Cross River Bank"," Travis Johnson ","Revolving Door Profiles","Non Former Members of Congress"
"GrayRobinson PA","$90000","Cross River Bank"," Chris McCannell ","Revolving Door Profiles","Non Former Members of Congress"
