"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Cleary Gottlieb et al","$120000","Institute of International Bankers"," Derek M Bush ","No Revolving Door Profiles","Non Former Members of Congress"
"Cleary Gottlieb et al","$120000","Institute of International Bankers"," Colin Lloyd ","No Revolving Door Profiles","Non Former Members of Congress"
"Cleary Gottlieb et al","$120000","Institute of International Bankers"," Erika Nijenhuis ","No Revolving Door Profiles","Non Former Members of Congress"
"Institute of International Bankers","$570000",""," Paul Begey ","Revolving Door Profiles","Non Former Members of Congress"
"Institute of International Bankers","$570000",""," Briget Polichene ","No Revolving Door Profiles","Non Former Members of Congress"
"Institute of International Bankers","$570000",""," Stephanie Webster ","No Revolving Door Profiles","Non Former Members of Congress"
"Rich Feuer Anderson","$240000","Institute of International Bankers"," John A Anderson ","Revolving Door Profiles","Non Former Members of Congress"
"Rich Feuer Anderson","$240000","Institute of International Bankers"," Mitchell L Feuer ","Revolving Door Profiles","Non Former Members of Congress"
"Rich Feuer Anderson","$240000","Institute of International Bankers"," Tom Koonce ","Revolving Door Profiles","Non Former Members of Congress"
"Rich Feuer Anderson","$240000","Institute of International Bankers"," Andrew C Palmer ","Revolving Door Profiles","Non Former Members of Congress"
"Rich Feuer Anderson","$240000","Institute of International Bankers"," Jared Sawyer ","Revolving Door Profiles","Non Former Members of Congress"
