"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Capitol Counsel","$120000","Truist Financial"," Joseph Eannello ","Revolving Door Profiles","Non Former Members of Congress"
"Capitol Counsel","$120000","Truist Financial"," Jenn Fogel-Bublick ","Revolving Door Profiles","Non Former Members of Congress"
"Capitol Counsel","$120000","Truist Financial"," David Olander ","Revolving Door Profiles","Non Former Members of Congress"
"Capitol Counsel","$120000","Truist Financial"," Warren Tryon ","Revolving Door Profiles","Non Former Members of Congress"
"Capitol Counsel","$120000","Truist Financial"," Jeffrey M Walter ","Revolving Door Profiles","Non Former Members of Congress"
"Truist Financial","$1710900",""," John Hardage ","Revolving Door Profiles","Non Former Members of Congress"
"Truist Financial","$1710900",""," Mark Oesterle ","Revolving Door Profiles","Non Former Members of Congress"
"United by Interest","$225000","Truist Financial"," Sam K Geduldig ","Revolving Door Profiles","Non Former Members of Congress"
"United by Interest","$225000","Truist Financial"," Michael Nielsen ","Revolving Door Profiles","Non Former Members of Congress"
"United by Interest","$225000","Truist Financial"," Jennifer Stewart ","Revolving Door Profiles","Non Former Members of Congress"
"United by Interest","$225000","Truist Financial"," John Stipicevic ","Revolving Door Profiles","Non Former Members of Congress"
"United by Interest","$225000","Truist Financial"," Michael W Williams ","Revolving Door Profiles","Non Former Members of Congress"
